origin_port,destination_port,distance_nm,typical_transit_hrs_small,typical_transit_hrs_medium,typical_transit_hrs_large,fuel_consumption_mt_small,fuel_consumption_mt_medium,fuel_consumption_mt_large,strait_passage,pilotage_required
RTM,LIM,3040,337.8,276.4,253.3,70.38,138.2,263.85,None,True
RTM,ALE,3400,377.8,309.1,283.3,78.71,154.55,295.1,None,True
RTM,IST,3000,333.3,272.7,250.0,69.44,136.35,260.42,Bosphorus - Strait of Gibraltar - English Channel,True
RTM,PSD,3560,395.6,323.6,296.7,82.42,161.8,309.06,None,True
RTM,TAN,1290,143.3,117.3,107.5,29.85,58.65,111.98,None,True
ALG,PIR,1330,147.8,120.9,110.8,30.79,60.45,115.42,Strait of Gibraltar,False
ALG,HAM,1540,171.1,140.0,128.3,35.65,70.0,133.65,None,True
ALG,GIB,5,0.6,0.5,0.4,0.12,0.25,0.42,Strait of Gibraltar,False
ALG,MLT,1080,120.0,98.2,90.0,25.0,49.1,93.75,None,False
ALG,GEN,900,100.0,81.8,75.0,20.83,40.9,78.12,None,True
ALG,MRS,750,83.3,68.2,62.5,17.35,34.1,65.1,None,False
ALG,BCN,490,54.4,44.5,40.8,11.33,22.25,42.5,None,True
ALG,RTM,1310,145.6,119.1,109.2,30.33,59.55,113.75,None,True
ALG,ALG,0,0,0,0,0.0,0.0,0.0,None,False
ALG,LIM,1780,197.8,161.8,148.3,41.21,80.9,154.48,None,False
ALG,ALE,1890,210.0,171.8,157.5,43.75,85.9,164.06,None,True
ALG,IST,2060,228.9,187.3,171.7,47.69,93.65,178.85,Bosphorus,True
ALG,PSD,1960,217.8,178.2,163.3,45.38,89.1,170.1,None,True
ALG,TAN,15,1.7,1.4,1.2,0.35,0.7,1.25,None,False
LIM,PIR,520,57.8,47.3,43.3,12.04,23.65,45.1,None,False
LIM,HAM,3100,344.4,281.8,258.3,71.75,140.9,269.06,None,True
LIM,GIB,1760,195.6,160.0,146.7,40.75,80.0,152.81,None,False
LIM,MLT,950,105.6,86.4,79.2,22.0,43.2,82.5,None,False
LIM,GEN,1280,142.2,116.4,106.7,29.62,58.2,111.15,None,True
LIM,MRS,1520,168.9,138.2,126.7,35.19,69.1,131.98,None,False
LIM,BCN,1770,196.7,160.9,147.5,40.98,80.45,153.65,None,True
LIM,RTM,3040,337.8,276.4,253.3,70.38,138.2,263.85,None,True
LIM,ALG,1780,197.8,161.8,148.3,41.21,80.9,154.48,None,False
LIM,LIM,0,0,0,0,0.0,0.0,0.0,None,False
LIM,ALE,480,53.3,43.6,40.0,11.1,21.8,41.67,None,True
LIM,IST,560,62.2,50.9,46.7,12.96,25.45,48.65,Bosphorus,True
LIM,PSD,360,40.0,32.7,30.0,8.33,16.35,31.25,Suez Canal,True
LIM,TAN,2220,246.7,201.8,185.0,51.4,100.9,192.71,None,False
ALE,PIR,520,57.8,47.3,43.3,12.04,23.65,45.1,None,True
ALE,HAM,3450,383.3,313.6,287.5,79.85,156.8,299.48,None,True
ALE,GIB,1880,208.9,170.9,156.7,43.52,85.45,163.23,None,True
ALE,MLT,870,96.7,79.1,72.5,20.15,39.55,75.52,None,True
ALE,GEN,1320,146.7,120.0,110.0,30.56,60.0,114.58,None,True
ALE,MRS,1570,174.4,142.7,130.8,36.33,71.35,136.25,None,True
ALE,BCN,1870,207.8,170.0,155.8,43.29,85.0,162.29,None,True
ALE,RTM,3400,377.8,309.1,283.3,78.71,154.55,295.1,None,True
ALE,ALG,1890,210.0,171.8,157.5,43.75,85.9,164.06,None,True
ALE,LIM,480,53.3,43.6,40.0,11.1,21.8,41.67,None,True
ALE,ALE,0,0,0,0,0.0,0.0,0.0,None,False
ALE,IST,940,104.4,85.5,78.3,21.75,42.75,81.56,Bosphorus,True
ALE,PSD,110,12.2,10.0,9.2,2.54,5.0,9.58,None,True
ALE,TAN,2340,260.0,212.7,195.0,54.17,106.35,203.12,None,True
IST,PIR,340,37.8,30.9,28.3,7.88,15.45,29.48,Bosphorus,True
IST,HAM,3050,338.9,277.3,254.2,70.6,138.65,264.79,Bosphorus - Strait of Gibraltar - English Channel,True
IST,GIB,2050,227.8,186.4,170.8,47.46,93.2,177.92,Bosphorus - Strait of Gibraltar,True
IST,MLT,820,91.1,74.5,68.3,18.98,37.25,71.15,Bosphorus,True
IST,GEN,1100,122.2,100.0,91.7,25.46,50.0,95.52,Bosphorus,True
IST,MRS,1360,151.1,123.6,113.3,31.48,61.8,118.02,Bosphorus,True
IST,BCN,1640,182.2,149.1,136.7,37.96,74.55,142.4,Bosphorus,True
IST,RTM,3000,333.3,272.7,250.0,69.44,136.35,260.42,Bosphorus - Strait of Gibraltar - English Channel,True
IST,ALG,2060,228.9,187.3,171.7,47.69,93.65,178.85,Bosphorus,True
IST,LIM,560,62.2,50.9,46.7,12.96,25.45,48.65,Bosphorus,True
IST,ALE,940,104.4,85.5,78.3,21.75,42.75,81.56,Bosphorus,True
IST,IST,0,0,0,0,0.0,0.0,0.0,None,False
IST,PSD,1000,111.1,90.9,83.3,23.15,45.45,86.77,Bosphorus,True
IST,TAN,2420,268.9,220.0,201.7,56.02,110.0,210.1,Bosphorus - Strait of Gibraltar,True
PSD,PIR,540,60.0,49.1,45.0,12.5,24.55,46.88,None,True
PSD,HAM,3620,402.2,329.1,301.7,83.79,164.55,314.27,None,True
PSD,GIB,1960,217.8,178.2,163.3,45.38,89.1,170.1,None,True
PSD,MLT,860,95.6,78.2,71.7,19.92,39.1,74.69,None,True
PSD,GEN,1380,153.3,125.5,115.0,31.94,62.75,119.79,None,True
PSD,MRS,1630,181.1,148.2,135.8,37.73,74.1,141.46,None,True
PSD,BCN,1930,214.4,175.5,160.8,44.67,87.75,167.5,None,True
PSD,RTM,3560,395.6,323.6,296.7,82.42,161.8,309.06,None,True
PSD,ALG,1960,217.8,178.2,163.3,45.38,89.1,170.1,None,True
PSD,LIM,360,40.0,32.7,30.0,8.33,16.35,31.25,Suez Canal,True
PSD,ALE,110,12.2,10.0,9.2,2.54,5.0,9.58,None,True
PSD,IST,1000,111.1,90.9,83.3,23.15,45.45,86.77,Bosphorus,True
PSD,PSD,0,0,0,0,0.0,0.0,0.0,None,False
PSD,TAN,2350,261.1,213.6,195.8,54.4,106.8,203.96,None,True
TAN,PIR,1340,148.9,121.8,111.7,31.02,60.9,116.35,Strait of Gibraltar,False
TAN,HAM,1520,168.9,138.2,126.7,35.19,69.1,131.98,None,True
TAN,GIB,20,2.2,1.8,1.7,0.46,0.9,1.77,Strait of Gibraltar,False
TAN,MLT,1090,121.1,99.1,90.8,25.23,49.55,94.58,None,False
TAN,GEN,940,104.4,85.5,78.3,21.75,42.75,81.56,None,True
TAN,MRS,780,86.7,70.9,65.0,18.06,35.45,67.71,None,False
TAN,BCN,520,57.8,47.3,43.3,12.04,23.65,45.1,None,True
TAN,RTM,1290,143.3,117.3,107.5,29.85,58.65,111.98,None,True
TAN,ALG,15,1.7,1.4,1.2,0.35,0.7,1.25,None,False
TAN,LIM,2220,246.7,201.8,185.0,51.4,100.9,192.71,None,False
TAN,ALE,2340,260.0,212.7,195.0,54.17,106.35,203.12,None,True
TAN,IST,2420,268.9,220.0,201.7,56.02,110.0,210.1,Bosphorus - Strait of Gibraltar,True
TAN,PSD,2350,261.1,213.6,195.8,54.4,106.8,203.96,None,True
TAN,TAN,0,0,0,0,0.0,0.0,0.0,None,False
