demand_id,date,port_code,port_name,port_country,port_latitude,port_longitude,vessel_calls_total,vessel_calls_by_type_container,vessel_calls_by_type_tanker,vessel_calls_by_type_bulk,vessel_calls_by_type_cruise,vessel_calls_by_type_other,waste_volume_collected_m3,waste_bilge_m3,waste_sludge_m3,waste_slops_m3,waste_other_m3,avg_vessel_size_gt,hec_market_share_pct,competitor_presence,port_reception_facility_capacity_m3,current_storage_fill_pct,days_until_full
DEM-PIR-20220111,2022-01-11,PIR,Piraeus,GR,37.9475,23.637,50.0,16.7,14.7,9.4,0.0,9.1,676.5,165.5,238.1,262.8,10.0,43233,77.2,True,25000,25.9,25.0
DEM-PIR-20220112,2022-01-12,PIR,Piraeus,GR,37.9475,23.637,50.4,14.8,18.1,10.8,0.3,6.4,837.4,180.4,305.1,344.2,7.7,44900,77.2,True,25000,30.1,16.5
DEM-PIR-20220113,2022-01-13,PIR,Piraeus,GR,37.9475,23.637,50.6,14.7,14.1,11.2,0.0,10.7,757.8,193.8,216.7,336.0,11.4,42643,77.2,True,25000,32.4,29.5
DEM-PIR-20220114,2022-01-14,PIR,Piraeus,GR,37.9475,23.637,51.7,16.8,16.5,13.2,0.0,5.2,810.1,209.9,297.2,298.3,4.8,51448,77.2,True,25000,36.6,15.3
DEM-PIR-20220115,2022-01-15,PIR,Piraeus,GR,37.9475,23.637,43.8,16.1,12.4,7.5,0.0,7.8,632.2,184.5,207.2,231.7,8.8,47603,77.2,True,25000,39.5,20.9
DEM-PIR-20220116,2022-01-16,PIR,Piraeus,GR,37.9475,23.637,38.5,11.4,10.5,9.6,0.4,6.6,543.7,139.8,214.0,181.1,8.8,47646,77.2,True,25000,41.1,35.4
DEM-PIR-20220117,2022-01-17,PIR,Piraeus,GR,37.9475,23.637,50.7,17.8,15.3,11.7,0.0,5.9,735.0,160.8,207.6,360.0,6.6,45693,77.2,True,25000,44.1,18.7
DEM-PIR-20220118,2022-01-18,PIR,Piraeus,GR,37.9475,23.637,48.2,17.1,17.8,10.5,0.0,2.9,795.1,170.4,225.1,396.5,3.2,46319,77.2,True,25000,23.9,32.3
DEM-PIR-20220119,2022-01-19,PIR,Piraeus,GR,37.9475,23.637,51.0,15.7,18.8,9.8,0.0,6.7,701.1,164.2,210.2,320.9,5.8,42496,77.2,True,25000,26.9,24.7
DEM-PIR-20220120,2022-01-20,PIR,Piraeus,GR,37.9475,23.637,50.1,18.0,15.9,8.9,0.0,7.3,749.2,175.6,246.8,320.8,6.0,45573,77.2,True,25000,29.9,23.1
DEM-PIR-20220121,2022-01-21,PIR,Piraeus,GR,37.9475,23.637,50.5,16.2,16.9,9.2,0.0,8.2,873.3,216.4,273.5,374.3,9.1,42273,77.2,True,25000,33.5,18.6
DEM-PIR-20220122,2022-01-22,PIR,Piraeus,GR,37.9475,23.637,42.8,14.5,15.8,8.7,0.0,3.8,668.1,160.7,197.5,306.3,3.6,47134,77.2,True,25000,36.0,25.8
DEM-PIR-20220123,2022-01-23,PIR,Piraeus,GR,37.9475,23.637,41.5,14.1,12.9,9.8,0.5,4.2,688.0,179.0,232.3,269.6,7.1,47588,77.2,True,25000,39.1,19.4
DEM-PIR-20220124,2022-01-24,PIR,Piraeus,GR,37.9475,23.637,53.2,16.2,18.5,12.1,0.2,6.2,934.2,242.8,231.7,451.5,8.2,48756,77.2,True,25000,26.9,16.7
DEM-PIR-20220125,2022-01-25,PIR,Piraeus,GR,37.9475,23.637,51.1,16.6,17.9,9.1,0.1,7.4,881.3,217.6,284.3,371.2,8.2,50408,77.2,True,25000,29.6,25.9
DEM-PIR-20220126,2022-01-26,PIR,Piraeus,GR,37.9475,23.637,52.1,16.7,13.7,11.4,0.1,10.2,728.2,223.1,216.1,279.2,9.8,41743,77.2,True,25000,31.9,29.6
DEM-PIR-20220127,2022-01-27,PIR,Piraeus,GR,37.9475,23.637,51.1,20.4,15.5,9.0,0.3,5.8,846.2,195.9,291.9,350.1,8.3,45211,77.2,True,25000,36.0,15.6
DEM-PIR-20220128,2022-01-28,PIR,Piraeus,GR,37.9475,23.637,50.3,17.3,14.5,11.5,0.0,7.0,715.5,194.0,233.9,279.3,8.2,49985,77.2,True,25000,38.2,28.2
DEM-PIR-20220129,2022-01-29,PIR,Piraeus,GR,37.9475,23.637,44.5,16.8,16.3,8.0,0.1,3.3,636.7,142.7,204.5,285.4,4.0,46832,77.2,True,25000,41.4,18.5
DEM-PIR-20220130,2022-01-30,PIR,Piraeus,GR,37.9475,23.637,35.3,14.2,8.8,5.2,0.0,7.1,518.3,114.9,171.8,223.7,7.9,46877,77.2,True,25000,43.9,22.5
DEM-PIR-20220131,2022-01-31,PIR,Piraeus,GR,37.9475,23.637,51.1,15.4,15.9,8.8,0.0,11.0,742.1,211.1,210.1,309.0,11.9,47431,77.2,True,25000,15.8,26.6
DEM-PIR-20220201,2022-02-01,PIR,Piraeus,GR,37.9475,23.637,50.0,16.5,18.1,10.5,0.0,4.9,872.3,215.3,270.5,382.3,4.2,52742,75.7,True,25000,18.9,26.4
DEM-PIR-20220202,2022-02-02,PIR,Piraeus,GR,37.9475,23.637,52.6,18.7,17.9,10.6,0.6,4.8,749.3,180.3,227.4,334.4,7.1,49102,75.7,True,25000,22.1,24.4
DEM-PIR-20220203,2022-02-03,PIR,Piraeus,GR,37.9475,23.637,46.1,16.2,14.3,8.9,0.0,6.7,690.1,177.9,196.9,308.5,6.8,48744,75.7,True,25000,25.1,24.9
DEM-PIR-20220204,2022-02-04,PIR,Piraeus,GR,37.9475,23.637,52.0,18.9,14.5,11.3,0.1,7.2,872.0,225.5,282.2,356.7,7.6,47792,75.7,True,25000,29.2,17.2
DEM-PIR-20220205,2022-02-05,PIR,Piraeus,GR,37.9475,23.637,45.1,14.7,16.1,9.5,0.0,4.8,675.0,162.7,199.9,307.1,5.3,43364,75.7,True,25000,32.4,20.9
DEM-PIR-20220206,2022-02-06,PIR,Piraeus,GR,37.9475,23.637,34.0,13.3,10.6,4.2,0.7,5.2,556.1,157.1,149.9,239.5,9.5,47005,75.7,True,25000,34.9,27.0
DEM-PIR-20220207,2022-02-07,PIR,Piraeus,GR,37.9475,23.637,52.2,16.1,14.3,11.0,0.0,10.8,787.3,226.7,286.2,263.9,10.6,43132,75.7,True,25000,26.3,31.3
DEM-PIR-20220208,2022-02-08,PIR,Piraeus,GR,37.9475,23.637,49.5,16.7,14.9,7.7,0.0,10.2,698.6,196.2,227.6,265.7,9.1,47044,75.7,True,25000,29.4,23.4
DEM-PIR-20220209,2022-02-09,PIR,Piraeus,GR,37.9475,23.637,50.9,18.1,16.6,11.7,0.1,4.4,877.4,200.6,282.9,388.8,5.0,53662,75.7,True,25000,33.0,18.1
DEM-PIR-20220210,2022-02-10,PIR,Piraeus,GR,37.9475,23.637,49.4,18.1,14.9,10.1,0.0,6.3,668.4,169.7,221.4,272.1,5.2,51952,75.7,True,25000,19.6,31.0
DEM-PIR-20220211,2022-02-11,PIR,Piraeus,GR,37.9475,23.637,49.7,16.8,13.9,8.1,0.4,10.4,818.7,215.6,262.8,325.8,14.6,47005,75.7,True,25000,23.6,19.1
DEM-PIR-20220212,2022-02-12,PIR,Piraeus,GR,37.9475,23.637,43.1,12.6,15.3,9.7,0.1,5.4,724.2,180.4,242.0,296.9,4.9,42843,75.7,True,25000,27.0,21.6
DEM-PIR-20220213,2022-02-13,PIR,Piraeus,GR,37.9475,23.637,36.7,11.2,14.8,7.1,0.0,3.7,728.8,156.4,227.4,341.9,3.0,46531,75.7,True,25000,29.1,33.3
DEM-PIR-20220214,2022-02-14,PIR,Piraeus,GR,37.9475,23.637,49.7,16.2,16.8,10.0,0.1,6.7,836.0,172.1,258.9,399.3,5.6,47188,75.7,True,25000,32.8,18.2
DEM-PIR-20220215,2022-02-15,PIR,Piraeus,GR,37.9475,23.637,50.7,16.9,15.1,9.8,0.8,8.2,756.3,188.3,251.6,305.5,11.0,50675,75.7,True,25000,16.3,34.1
DEM-PIR-20220216,2022-02-16,PIR,Piraeus,GR,37.9475,23.637,50.6,18.3,17.9,12.0,0.0,2.5,863.1,191.9,306.6,362.5,2.1,49621,75.7,True,25000,18.8,31.8
DEM-PIR-20220217,2022-02-17,PIR,Piraeus,GR,37.9475,23.637,50.6,16.3,14.8,9.7,0.0,9.7,786.9,197.4,215.2,365.6,8.7,43096,75.7,True,25000,22.7,19.7
DEM-PIR-20220218,2022-02-18,PIR,Piraeus,GR,37.9475,23.637,49.7,17.7,17.2,9.5,0.1,5.2,823.1,224.5,228.0,364.1,6.4,51270,75.7,True,25000,25.9,23.4
DEM-PIR-20220219,2022-02-19,PIR,Piraeus,GR,37.9475,23.637,43.5,14.2,15.9,9.8,0.0,3.6,747.3,199.6,227.6,317.2,2.9,53655,75.7,True,25000,28.2,31.5
DEM-PIR-20220220,2022-02-20,PIR,Piraeus,GR,37.9475,23.637,37.6,10.7,11.2,7.3,0.0,8.4,545.6,135.1,144.0,259.1,7.5,41207,75.7,True,25000,30.2,34.1
DEM-PIR-20220221,2022-02-21,PIR,Piraeus,GR,37.9475,23.637,48.7,16.0,13.7,8.5,0.0,10.5,773.6,181.5,246.3,336.3,9.5,42105,75.7,True,25000,22.2,29.7
DEM-PIR-20220222,2022-02-22,PIR,Piraeus,GR,37.9475,23.637,49.8,18.8,14.1,8.6,0.0,8.3,710.9,160.3,195.7,348.2,6.7,43395,75.7,True,25000,24.2,37.1
DEM-PIR-20220223,2022-02-23,PIR,Piraeus,GR,37.9475,23.637,49.8,17.0,16.3,7.7,0.3,8.5,803.2,203.7,207.1,381.2,11.3,43537,75.7,True,25000,28.3,17.8
DEM-PIR-20220224,2022-02-24,PIR,Piraeus,GR,37.9475,23.637,52.1,18.3,16.3,12.7,0.1,4.7,750.0,183.7,250.5,311.3,4.4,44923,75.7,True,25000,31.0,25.3
DEM-PIR-20220225,2022-02-25,PIR,Piraeus,GR,37.9475,23.637,55.3,17.2,16.0,12.1,0.4,9.5,786.1,184.6,225.3,366.1,10.1,46073,75.7,True,25000,15.1,20.9
DEM-PIR-20220226,2022-02-26,PIR,Piraeus,GR,37.9475,23.637,42.6,16.6,14.5,7.3,0.0,4.3,633.9,137.9,218.2,273.2,4.6,52114,75.7,True,25000,16.9,46.1
DEM-PIR-20220227,2022-02-27,PIR,Piraeus,GR,37.9475,23.637,36.7,13.3,10.6,7.8,0.1,4.9,589.3,159.2,179.2,244.4,6.5,47119,75.7,True,25000,19.2,34.0
DEM-PIR-20220228,2022-02-28,PIR,Piraeus,GR,37.9475,23.637,49.7,14.9,17.6,10.5,0.1,6.6,787.0,163.7,298.6,318.6,6.1,50205,75.7,True,25000,23.2,19.6
DEM-PIR-20220301,2022-03-01,PIR,Piraeus,GR,37.9475,23.637,61.1,20.9,21.5,15.1,0.1,3.5,1028.8,248.5,267.9,507.6,4.7,53656,73.3,True,25000,26.3,23.6
DEM-PIR-20220302,2022-03-02,PIR,Piraeus,GR,37.9475,23.637,64.8,21.6,21.7,11.5,0.0,10.0,1039.5,231.4,329.9,468.5,9.8,47073,73.3,True,25000,31.5,13.1
DEM-PIR-20220303,2022-03-03,PIR,Piraeus,GR,37.9475,23.637,62.2,21.2,18.0,12.1,0.0,11.0,878.3,284.9,260.2,321.1,12.1,48980,73.3,True,25000,34.6,21.5
DEM-PIR-20220304,2022-03-04,PIR,Piraeus,GR,37.9475,23.637,60.8,19.1,17.9,12.7,0.2,10.9,868.6,250.1,286.9,320.7,10.8,43559,73.3,True,25000,28.2,17.8
DEM-PIR-20220305,2022-03-05,PIR,Piraeus,GR,37.9475,23.637,51.6,18.3,18.9,12.7,0.0,1.8,883.5,171.3,310.8,399.6,1.8,48062,73.3,True,25000,31.2,22.9
DEM-PIR-20220306,2022-03-06,PIR,Piraeus,GR,37.9475,23.637,44.6,13.7,17.2,8.3,0.0,5.3,814.2,188.6,204.1,416.9,4.7,50840,73.3,True,25000,33.6,26.8
DEM-PIR-20220307,2022-03-07,PIR,Piraeus,GR,37.9475,23.637,62.7,20.3,22.8,10.4,0.3,8.8,1064.1,279.6,295.4,479.6,9.5,44359,73.3,True,25000,29.1,20.9
DEM-PIR-20220308,2022-03-08,PIR,Piraeus,GR,37.9475,23.637,61.5,22.2,20.5,12.1,0.0,6.7,1092.8,284.6,302.4,500.0,5.8,48889,73.3,True,25000,32.7,18.7
DEM-PIR-20220309,2022-03-09,PIR,Piraeus,GR,37.9475,23.637,63.5,20.1,17.6,11.0,0.1,14.7,969.6,245.8,250.4,456.4,17.1,45095,73.3,True,25000,36.5,16.7
DEM-PIR-20220310,2022-03-10,PIR,Piraeus,GR,37.9475,23.637,62.6,18.7,24.0,11.2,0.0,8.7,1137.9,264.3,284.4,580.8,8.5,47422,73.3,True,25000,29.9,22.0
DEM-PIR-20220311,2022-03-11,PIR,Piraeus,GR,37.9475,23.637,61.5,20.1,16.9,12.1,0.2,12.3,900.0,221.7,307.4,356.9,14.1,45588,73.3,True,25000,33.4,18.8
DEM-PIR-20220312,2022-03-12,PIR,Piraeus,GR,37.9475,23.637,53.2,20.4,16.5,9.7,0.1,6.5,891.9,232.5,305.6,346.3,7.4,46300,73.3,True,25000,38.0,13.7
DEM-PIR-20220313,2022-03-13,PIR,Piraeus,GR,37.9475,23.637,47.5,15.7,16.9,9.0,0.2,5.7,764.4,196.8,225.2,335.6,6.8,44228,73.3,True,25000,40.3,25.9
DEM-PIR-20220314,2022-03-14,PIR,Piraeus,GR,37.9475,23.637,61.8,22.2,20.1,14.3,0.0,5.2,905.6,219.4,330.1,351.4,4.7,46015,73.3,True,25000,43.4,17.9
DEM-PIR-20220315,2022-03-15,PIR,Piraeus,GR,37.9475,23.637,59.1,22.5,21.1,10.7,0.0,4.8,1041.4,244.7,278.0,514.1,4.6,51388,73.3,True,25000,46.4,18.0
DEM-PIR-20220316,2022-03-16,PIR,Piraeus,GR,37.9475,23.637,62.0,20.0,23.2,13.4,0.3,5.0,1033.0,241.9,342.5,442.8,5.8,53468,73.3,True,25000,51.6,9.3
DEM-PIR-20220317,2022-03-17,PIR,Piraeus,GR,37.9475,23.637,63.1,22.5,23.3,15.5,0.4,1.4,1007.2,269.8,309.4,424.2,3.7,51559,73.3,True,25000,27.2,21.7
DEM-PIR-20220318,2022-03-18,PIR,Piraeus,GR,37.9475,23.637,63.0,20.0,17.9,11.5,0.0,13.5,925.3,229.8,345.6,338.2,11.7,42958,73.3,True,25000,31.2,17.3
DEM-PIR-20220319,2022-03-19,PIR,Piraeus,GR,37.9475,23.637,52.6,19.5,20.1,8.9,0.0,4.1,843.7,173.7,308.3,357.8,4.0,49845,73.3,True,25000,34.6,19.4
DEM-PIR-20220320,2022-03-20,PIR,Piraeus,GR,37.9475,23.637,49.9,17.7,17.1,11.4,0.4,3.4,737.9,197.8,248.7,285.8,5.6,49184,73.3,True,25000,38.0,17.9
DEM-PIR-20220321,2022-03-21,PIR,Piraeus,GR,37.9475,23.637,62.8,23.5,23.4,11.8,0.0,4.1,988.9,211.9,374.0,399.5,3.6,50382,73.3,True,25000,15.8,28.7
DEM-PIR-20220322,2022-03-22,PIR,Piraeus,GR,37.9475,23.637,62.5,18.6,19.4,15.1,0.0,9.5,1043.7,274.3,344.9,413.8,10.7,42497,73.3,True,25000,19.7,20.5
DEM-PIR-20220323,2022-03-23,PIR,Piraeus,GR,37.9475,23.637,61.7,22.1,18.5,14.9,0.0,6.2,875.4,215.7,331.3,323.3,5.2,45901,73.3,True,25000,22.5,27.5
DEM-PIR-20220324,2022-03-24,PIR,Piraeus,GR,37.9475,23.637,62.0,22.9,18.9,15.2,0.0,5.0,991.2,293.9,351.9,341.0,4.4,51595,73.3,True,25000,26.0,21.4
DEM-PIR-20220325,2022-03-25,PIR,Piraeus,GR,37.9475,23.637,65.0,24.6,22.0,12.3,0.0,6.1,990.5,255.0,292.2,436.7,6.7,52335,73.3,True,25000,30.1,17.0
DEM-PIR-20220326,2022-03-26,PIR,Piraeus,GR,37.9475,23.637,51.4,16.1,16.4,10.0,0.0,8.8,834.8,173.8,286.5,366.8,7.7,48841,73.3,True,25000,33.4,20.3
DEM-PIR-20220327,2022-03-27,PIR,Piraeus,GR,37.9475,23.637,48.7,17.7,18.8,6.8,0.4,5.0,764.5,162.5,221.4,374.3,6.3,45152,73.3,True,25000,37.1,16.9
DEM-PIR-20220328,2022-03-28,PIR,Piraeus,GR,37.9475,23.637,64.6,22.5,19.4,11.0,0.0,11.6,901.8,292.7,252.8,346.5,9.9,46347,73.3,True,25000,27.8,25.9
DEM-PIR-20220329,2022-03-29,PIR,Piraeus,GR,37.9475,23.637,61.6,21.7,20.7,15.3,0.2,3.7,1055.7,275.4,274.1,501.6,4.6,50657,73.3,True,25000,33.2,12.3
DEM-PIR-20220330,2022-03-30,PIR,Piraeus,GR,37.9475,23.637,63.7,20.6,19.9,13.3,0.4,9.7,963.3,259.1,291.8,401.2,11.3,48011,73.3,True,25000,38.0,12.8
DEM-PIR-20220331,2022-03-31,PIR,Piraeus,GR,37.9475,23.637,63.3,24.1,20.6,10.9,0.0,7.7,931.6,231.1,288.0,406.1,6.4,44744,73.3,True,25000,42.3,13.7
DEM-PIR-20220401,2022-04-01,PIR,Piraeus,GR,37.9475,23.637,81.4,24.0,26.3,17.6,3.6,10.0,1483.3,415.8,400.7,637.9,28.9,45338,74.3,True,25000,46.6,12.5
DEM-PIR-20220402,2022-04-02,PIR,Piraeus,GR,37.9475,23.637,66.9,21.2,20.3,11.5,4.2,9.6,1107.0,284.8,387.5,403.1,31.7,48584,74.3,True,25000,50.1,14.2
DEM-PIR-20220403,2022-04-03,PIR,Piraeus,GR,37.9475,23.637,58.8,19.5,18.4,10.9,4.3,5.7,973.8,264.0,257.0,425.8,27.1,54408,74.3,True,25000,55.1,8.9
DEM-PIR-20220404,2022-04-04,PIR,Piraeus,GR,37.9475,23.637,80.4,25.9,25.2,14.2,3.9,11.1,1295.1,406.8,327.2,531.1,30.1,52060,74.3,True,25000,25.0,18.1
DEM-PIR-20220405,2022-04-05,PIR,Piraeus,GR,37.9475,23.637,80.0,26.0,24.9,12.7,3.3,12.9,1291.1,289.0,464.2,504.8,33.1,53241,74.3,True,25000,28.9,18.4
DEM-PIR-20220406,2022-04-06,PIR,Piraeus,GR,37.9475,23.637,81.6,27.8,28.7,15.9,4.5,4.8,1344.3,301.9,473.8,537.2,31.4,49078,74.3,True,25000,35.7,9.5
DEM-PIR-20220407,2022-04-07,PIR,Piraeus,GR,37.9475,23.637,82.1,28.9,21.7,12.6,5.2,13.7,1278.5,370.4,323.5,548.1,36.6,47234,74.3,True,25000,40.1,13.4
DEM-PIR-20220408,2022-04-08,PIR,Piraeus,GR,37.9475,23.637,80.8,27.7,22.5,18.0,4.8,7.8,1341.7,417.3,414.4,473.3,36.7,58257,74.3,True,25000,46.2,8.9
DEM-PIR-20220409,2022-04-09,PIR,Piraeus,GR,37.9475,23.637,68.9,22.5,22.1,11.8,2.7,9.7,1103.4,347.0,360.2,376.1,20.1,46451,74.3,True,25000,51.8,8.5
DEM-PIR-20220410,2022-04-10,PIR,Piraeus,GR,37.9475,23.637,62.7,19.8,18.8,13.4,4.2,6.5,1098.0,298.9,376.3,394.1,28.7,49829,74.3,True,25000,24.3,14.6
DEM-PIR-20220411,2022-04-11,PIR,Piraeus,GR,37.9475,23.637,82.0,30.1,24.7,13.2,3.0,11.0,1257.1,310.0,371.2,548.3,27.6,49194,74.3,True,25000,28.5,17.0
DEM-PIR-20220412,2022-04-12,PIR,Piraeus,GR,37.9475,23.637,78.1,26.9,21.1,18.3,2.7,9.0,1244.9,406.7,379.4,436.9,22.0,46503,74.3,True,25000,33.7,12.6
DEM-PIR-20220413,2022-04-13,PIR,Piraeus,GR,37.9475,23.637,84.0,26.4,26.1,12.4,5.9,13.0,1461.7,411.4,472.0,533.3,45.1,54383,74.3,True,25000,40.0,9.5
DEM-PIR-20220414,2022-04-14,PIR,Piraeus,GR,37.9475,23.637,83.0,24.8,27.0,17.4,5.3,8.6,1402.2,373.8,387.0,611.4,30.0,49356,74.3,True,25000,46.1,8.9
DEM-PIR-20220415,2022-04-15,PIR,Piraeus,GR,37.9475,23.637,80.0,26.5,28.2,15.6,2.8,6.9,1502.2,394.1,463.1,626.9,18.0,49870,74.3,True,25000,52.0,8.1
DEM-PIR-20220416,2022-04-16,PIR,Piraeus,GR,37.9475,23.637,65.8,20.1,19.0,12.0,2.4,12.4,1084.5,305.7,355.6,396.0,27.3,44697,74.3,True,25000,17.6,20.7
DEM-PIR-20220417,2022-04-17,PIR,Piraeus,GR,37.9475,23.637,64.5,21.7,18.4,10.6,4.0,9.8,1025.1,279.8,283.0,427.5,34.8,50671,74.3,True,25000,22.1,17.5
DEM-PIR-20220418,2022-04-18,PIR,Piraeus,GR,37.9475,23.637,83.8,28.5,29.1,17.1,5.4,3.7,1439.0,386.6,453.3,567.6,31.5,55935,74.3,True,25000,29.0,10.3
DEM-PIR-20220419,2022-04-19,PIR,Piraeus,GR,37.9475,23.637,83.3,23.3,24.1,17.1,5.4,13.4,1416.0,342.9,436.0,599.3,37.8,50691,74.3,True,25000,34.0,13.3
DEM-PIR-20220420,2022-04-20,PIR,Piraeus,GR,37.9475,23.637,81.0,24.2,21.6,12.5,5.9,16.9,1355.4,421.5,352.0,542.3,39.7,50521,74.3,True,25000,40.4,9.2
DEM-PIR-20220421,2022-04-21,PIR,Piraeus,GR,37.9475,23.637,80.1,25.7,22.1,18.3,3.3,10.7,1209.8,332.2,445.7,410.2,21.7,50932,74.3,True,25000,46.7,8.5
DEM-PIR-20220422,2022-04-22,PIR,Piraeus,GR,37.9475,23.637,79.6,23.1,22.7,14.4,5.4,14.0,1225.8,320.3,380.2,478.1,47.2,51198,74.3,True,25000,52.2,8.8
DEM-PIR-20220423,2022-04-23,PIR,Piraeus,GR,37.9475,23.637,72.2,26.5,20.0,12.7,5.1,7.8,1057.1,302.6,314.4,409.4,30.6,56741,74.3,True,25000,27.0,13.9
DEM-PIR-20220424,2022-04-24,PIR,Piraeus,GR,37.9475,23.637,63.7,19.4,19.7,8.6,4.0,11.9,1074.7,248.0,332.8,465.7,28.3,52810,74.3,True,25000,32.2,13.0
DEM-PIR-20220425,2022-04-25,PIR,Piraeus,GR,37.9475,23.637,81.1,27.4,22.3,13.0,5.5,13.0,1381.5,442.8,431.5,460.9,46.3,51067,74.3,True,25000,38.6,9.7
DEM-PIR-20220426,2022-04-26,PIR,Piraeus,GR,37.9475,23.637,79.1,26.9,27.4,14.2,2.6,8.0,1379.6,374.8,475.1,506.9,22.8,52430,74.3,True,25000,44.2,10.0
DEM-PIR-20220427,2022-04-27,PIR,Piraeus,GR,37.9475,23.637,84.0,24.8,29.7,17.4,5.4,6.7,1463.4,458.2,381.3,585.3,38.6,51061,74.3,True,25000,51.0,7.1
DEM-PIR-20220428,2022-04-28,PIR,Piraeus,GR,37.9475,23.637,80.0,25.6,28.0,18.6,3.1,4.7,1299.8,280.9,380.2,618.0,20.6,52810,74.3,True,25000,54.9,11.8
DEM-PIR-20220429,2022-04-29,PIR,Piraeus,GR,37.9475,23.637,79.5,26.5,27.9,11.6,3.5,10.0,1387.0,305.7,413.7,643.0,24.7,47397,74.3,True,25000,29.4,17.8
DEM-PIR-20220430,2022-04-30,PIR,Piraeus,GR,37.9475,23.637,71.6,25.5,22.1,14.7,3.5,5.9,1194.1,362.4,344.1,467.8,19.9,58012,74.3,True,25000,35.3,10.9
DEM-PIR-20220501,2022-05-01,PIR,Piraeus,GR,37.9475,23.637,70.0,20.9,19.1,13.7,2.2,14.2,1152.6,330.5,340.4,455.0,26.7,49876,77.5,True,25000,40.3,12.0
DEM-PIR-20220502,2022-05-02,PIR,Piraeus,GR,37.9475,23.637,91.9,29.7,31.3,17.1,3.9,9.9,1534.6,358.7,541.5,602.6,31.7,54519,77.5,True,25000,44.9,12.0
DEM-PIR-20220503,2022-05-03,PIR,Piraeus,GR,37.9475,23.637,94.8,32.1,27.0,15.7,5.7,14.3,1571.9,453.5,485.4,596.5,36.5,52599,77.5,True,25000,25.2,10.8
DEM-PIR-20220504,2022-05-04,PIR,Piraeus,GR,37.9475,23.637,94.3,29.6,30.8,14.9,3.1,15.9,1671.9,394.2,488.5,757.7,31.4,47807,77.5,True,25000,32.3,9.5
DEM-PIR-20220505,2022-05-05,PIR,Piraeus,GR,37.9475,23.637,95.4,31.5,25.8,19.2,4.1,14.8,1256.8,364.7,407.3,456.5,28.4,48814,77.5,True,25000,38.2,10.6
DEM-PIR-20220506,2022-05-06,PIR,Piraeus,GR,37.9475,23.637,92.6,31.9,24.5,18.6,3.1,14.5,1365.0,383.7,483.9,462.5,35.0,48921,77.5,True,25000,44.5,8.8
DEM-PIR-20220507,2022-05-07,PIR,Piraeus,GR,37.9475,23.637,80.2,28.3,29.3,13.4,3.5,5.7,1516.4,356.4,449.5,683.3,27.2,49462,77.5,True,25000,50.6,8.0
DEM-PIR-20220508,2022-05-08,PIR,Piraeus,GR,37.9475,23.637,72.0,24.0,20.4,13.9,4.7,8.9,1171.9,340.9,369.3,427.4,34.3,51335,77.5,True,25000,56.0,8.2
