sample_id,reception_id,sample_point,sample_timestamp,water_content_pct,oil_content_pct,solids_content_pct,density_15c_kg_m3,viscosity_40c_cst,viscosity_100c_cst,flash_point_c,pour_point_c,sulfur_total_pct,ash_content_pct,carbon_residue_pct,vanadium_ppm,nickel_ppm,iron_ppm,sodium_ppm,aluminum_silicon_ppm,chloride_ppm,acid_number_mg_koh_g,calorific_value_gross_mj_kg,calorific_value_net_mj_kg,pcb_ppm,btex_ppm,h2s_ppm,emulsion_layer_pct,particle_size_d50_micron
LAB-PIR-2022-00007,REC-PIR-2022-00002,Oil Output,2022-01-02 14:29:34,1.06,98.04,0.9,873.9,18.12,3.94,57.4,20.3,0.027,1.216,8.39,2.1,0.5,65.5,682.8,14.1,1043.9,2.158,39.7,37.28,0.033,29.03,18.68,0.6,42.3
LAB-GIB-2022-00001,REC-GIB-2022-00001,Inlet,2022-01-02 10:33:14,29.09,50.29,20.62,1002.6,4521.99,80.76,99.8,-4.3,0.1582,2.338,3.58,29.3,11.2,68.4,87.8,68.7,245.8,4.561,20.31,19.22,0.0048,16.79,106.98,58.5,173.4
LAB-GIB-2022-00002,REC-GIB-2022-00001,Mid-Process,2022-01-02 04:33:14,17.23,65.12,17.65,924.1,2672.88,61.19,94.8,-4.3,0.1582,2.338,3.58,29.3,11.2,68.4,87.8,68.7,245.8,4.561,26.74,25.11,0.0048,16.79,106.98,58.5,173.4
LAB-GIB-2022-00003,REC-GIB-2022-00001,Oil Output,2022-01-02 01:33:14,1.36,98.88,0.01,856.4,38.22,6.08,145.8,-4.3,0.1266,1.403,3.58,26.4,10.1,34.2,8.8,20.6,12.3,4.561,39.66,37.69,0.0048,16.79,10.7,5.9,173.4
LAB-HAM-2022-00005,REC-HAM-2022-00002,Inlet,2022-01-03 13:26:22,34.87,57.35,7.78,927.4,469.52,24.25,78.3,2.0,3.5114,1.286,6.73,219.7,82.4,465.6,223.3,58.0,121.4,1.506,24.76,23.45,0.0244,35.28,177.08,14.9,2.8
LAB-HAM-2022-00006,REC-HAM-2022-00002,Mid-Process,2022-01-03 05:26:22,22.22,73.16,4.62,941.2,279.11,18.32,74.4,2.0,3.5114,1.286,6.73,219.7,82.4,465.6,223.3,58.0,121.4,1.506,31.64,29.78,0.0244,35.28,177.08,14.9,2.8
LAB-HAM-2022-00007,REC-HAM-2022-00002,Oil Output,2022-01-03 06:26:22,0.62,94.93,4.45,924.0,14.85,3.5,104.7,2.0,2.8091,0.772,6.73,197.7,74.2,232.8,22.3,17.4,6.1,1.506,39.2,36.84,0.0244,35.28,17.71,1.5,2.8
LAB-HAM-2022-00008,REC-HAM-2022-00002,Water Output,2022-01-01 21:26:22,99.94,0.05,0.01,1019.7,4.08,1.86,,2.0,3.5114,1.286,6.73,219.7,82.4,465.6,223.3,58.0,121.4,1.506,0.02,0.02,0.0244,35.28,177.08,14.9,2.8
LAB-GIB-2022-00004,REC-GIB-2022-00002,Inlet,2022-01-02 23:34:55,49.47,39.99,10.54,967.4,95.71,10.2,81.7,4.8,0.4652,1.396,5.24,37.9,14.4,414.9,268.2,52.1,297.1,2.092,16.31,15.18,0.0388,0.11,17.53,18.8,22.2
LAB-GIB-2022-00005,REC-GIB-2022-00002,Mid-Process,2022-01-03 03:34:55,38.83,53.28,7.89,965.4,64.42,8.17,77.6,4.8,0.4652,1.396,5.24,37.9,14.4,414.9,268.2,52.1,297.1,2.092,22.38,21.21,0.0388,0.11,17.53,18.8,22.2
LAB-GIB-2022-00006,REC-GIB-2022-00002,Oil Output,2022-01-03 00:34:55,2.39,96.25,1.36,887.5,60.74,7.91,123.5,4.8,0.3722,0.838,5.24,34.1,13.0,207.4,26.8,15.6,14.9,2.092,42.13,39.89,0.0388,0.11,1.75,1.9,22.2
LAB-GIB-2022-00007,REC-GIB-2022-00002,Water Output,2022-01-03 09:34:55,99.95,0.04,0.01,1007.3,4.61,0.64,,4.8,0.4652,1.396,5.24,37.9,14.4,414.9,268.2,52.1,297.1,2.092,0.02,0.01,0.0388,0.11,17.53,18.8,22.2
LAB-GIB-2022-00008,REC-GIB-2022-00002,Solids Output,2022-01-03 12:34:55,18.95,13.78,67.27,1423.2,,,,4.8,0.4652,1.396,5.24,37.9,14.4,414.9,268.2,52.1,297.1,2.092,6.04,5.56,0.0388,0.11,17.53,18.8,22.2
LAB-HAM-2022-00009,REC-HAM-2022-00003,Inlet,2022-01-03 21:05:04,30.92,50.38,18.7,1003.3,6627.59,98.78,120.9,-1.3,0.4173,2.953,6.5,33.0,9.2,375.9,82.5,62.3,188.1,4.385,20.66,19.77,0.0827,45.17,172.49,15.8,25.7
LAB-HAM-2022-00010,REC-HAM-2022-00003,Mid-Process,2022-01-02 15:05:04,18.06,66.46,15.48,968.9,3089.87,66.06,114.9,-1.3,0.4173,2.953,6.5,33.0,9.2,375.9,82.5,62.3,188.1,4.385,26.58,25.5,0.0827,45.17,172.49,15.8,25.7
LAB-HAM-2022-00011,REC-HAM-2022-00003,Oil Output,2022-01-02 08:05:04,0.63,97.63,1.74,913.5,7.25,2.26,139.9,-1.3,0.3338,1.772,6.5,29.7,8.3,187.9,8.2,18.7,9.4,4.385,42.41,39.96,0.0827,45.17,17.25,1.6,25.7
LAB-HAM-2022-00012,REC-HAM-2022-00003,Solids Output,2022-01-03 06:05:04,7.49,5.91,86.6,1279.2,,,,-1.3,0.4173,2.953,6.5,33.0,9.2,375.9,82.5,62.3,188.1,4.385,2.53,2.26,0.0827,45.17,172.49,15.8,25.7
LAB-PIR-2022-00008,REC-PIR-2022-00003,Inlet,2022-01-02 02:27:52,24.84,56.12,19.04,1019.0,11680.22,133.08,80.8,9.7,0.0854,1.572,3.39,2.0,0.7,374.6,253.5,77.6,319.4,0.556,22.55,21.52,0.072,0.44,125.88,29.7,186.6
LAB-PIR-2022-00009,REC-PIR-2022-00003,Mid-Process,2022-01-03 01:27:52,14.91,68.53,16.56,956.1,8063.75,109.52,76.8,9.7,0.0854,1.572,3.39,2.0,0.7,374.6,253.5,77.6,319.4,0.556,29.83,28.19,0.072,0.44,125.88,29.7,186.6
LAB-PIR-2022-00010,REC-PIR-2022-00003,Oil Output,2022-01-02 19:27:52,1.6,95.53,2.87,898.2,23.69,4.61,154.6,9.7,0.0683,0.943,3.39,1.8,0.6,187.3,25.4,23.3,16.0,0.556,39.17,36.71,0.072,0.44,12.59,3.0,186.6
LAB-HAM-2022-00013,REC-HAM-2022-00004,Inlet,2022-01-02 07:44:35,25.16,45.12,29.72,1007.8,7913.31,108.44,138.1,5.0,0.3034,0.387,14.71,42.0,10.1,312.5,59.6,36.3,283.6,3.92,18.53,17.5,0.0653,21.02,165.47,59.5,157.5
LAB-HAM-2022-00014,REC-HAM-2022-00004,Mid-Process,2022-01-03 05:44:35,17.39,54.83,27.78,1056.3,3768.59,73.36,131.2,5.0,0.3034,0.387,14.71,42.0,10.1,312.5,59.6,36.3,283.6,3.92,22.21,21.1,0.0653,21.02,165.47,59.5,157.5
LAB-HAM-2022-00015,REC-HAM-2022-00004,Oil Output,2022-01-02 16:44:35,0.34,92.7,6.96,921.6,69.64,8.54,121.6,5.0,0.2427,0.232,14.71,37.8,9.1,156.2,6.0,10.9,14.2,3.92,37.59,35.6,0.0653,21.02,16.55,6.0,157.5
LAB-HAM-2022-00016,REC-HAM-2022-00004,Solids Output,2022-01-02 14:44:35,19.55,13.59,66.86,1312.4,,,,5.0,0.3034,0.387,14.71,42.0,10.1,312.5,59.6,36.3,283.6,3.92,5.53,5.25,0.0653,21.02,165.47,59.5,157.5
LAB-PIR-2022-00011,REC-PIR-2022-00004,Inlet,2022-01-03 01:13:38,9.15,86.36,4.49,900.4,133.66,12.26,80.2,-1.2,4.0828,0.276,14.08,491.8,197.6,119.1,405.4,48.9,86.8,4.311,36.96,35.39,0.0358,24.15,109.94,6.5,8.7
LAB-PIR-2022-00012,REC-PIR-2022-00004,Mid-Process,2022-01-02 22:13:38,1.79,95.57,2.64,842.0,81.03,9.29,76.2,-1.2,4.0828,0.276,14.08,491.8,197.6,119.1,405.4,48.9,86.8,4.311,40.33,38.66,0.0358,24.15,109.94,6.5,8.7
LAB-PIR-2022-00013,REC-PIR-2022-00004,Oil Output,2022-01-03 17:13:38,0.88,92.9,6.22,885.0,40.12,6.25,166.4,-1.2,3.2662,0.166,14.08,442.6,177.8,59.5,40.5,14.7,4.3,4.311,37.12,35.29,0.0358,24.15,10.99,0.7,8.7
LAB-GIB-2022-00009,REC-GIB-2022-00003,Inlet,2022-01-04 01:31:40,84.74,14.38,0.88,984.4,23.27,4.56,47.9,13.4,3.5644,2.553,4.77,286.4,99.3,296.3,15689.7,12.7,18255.8,2.015,6.03,5.72,0.0282,21.53,49.23,3.2,18.9
LAB-GIB-2022-00010,REC-GIB-2022-00003,Mid-Process,2022-01-03 14:31:40,69.71,30.28,0.01,974.5,16.0,3.66,45.5,13.4,3.5644,2.553,4.77,286.4,99.3,296.3,15689.7,12.7,18255.8,2.015,12.36,11.62,0.0282,21.53,49.23,3.2,18.9
LAB-GIB-2022-00011,REC-GIB-2022-00003,Oil Output,2022-01-02 12:31:40,0.9,95.7,3.4,874.0,68.28,8.45,65.7,13.4,2.8515,1.532,4.77,257.8,89.4,148.2,1569.0,3.8,912.8,2.015,40.42,38.49,0.0282,21.53,4.92,0.3,18.9
LAB-PIR-2022-00014,REC-PIR-2022-00005,Inlet,2022-01-04 01:08:53,90.54,4.78,4.68,1022.0,29.08,5.2,51.0,-0.9,4.0844,1.68,9.13,254.1,61.1,341.7,20214.8,16.2,18087.2,3.153,1.98,1.85,0.0746,31.73,11.92,3.9,31.6
LAB-PIR-2022-00015,REC-PIR-2022-00005,Mid-Process,2022-01-03 03:08:53,78.67,19.61,1.72,990.7,15.25,3.55,48.4,-0.9,4.0844,1.68,9.13,254.1,61.1,341.7,20214.8,16.2,18087.2,3.153,8.5,7.92,0.0746,31.73,11.92,3.9,31.6
LAB-PIR-2022-00016,REC-PIR-2022-00005,Oil Output,2022-01-02 19:08:53,0.28,96.88,2.84,874.2,8.69,2.52,85.0,-0.9,3.2675,1.008,9.13,228.7,55.0,170.8,2021.5,4.9,904.4,3.153,42.32,39.69,0.0746,31.73,1.19,0.4,31.6
LAB-PIR-2022-00017,REC-PIR-2022-00005,Solids Output,2022-01-03 10:08:53,7.4,2.73,89.87,1640.2,,,,-0.9,4.0844,1.68,9.13,254.1,61.1,341.7,20214.8,16.2,18087.2,3.153,1.19,1.08,0.0746,31.73,11.92,3.9,31.6
LAB-HAM-2022-00017,REC-HAM-2022-00005,Inlet,2022-01-03 03:53:06,91.38,6.11,2.51,1021.1,13.24,3.26,48.5,17.7,0.0542,0.289,13.82,3.6,1.3,313.5,8933.2,58.7,8262.2,1.422,2.61,2.45,0.0475,47.72,67.97,9.5,49.7
LAB-HAM-2022-00018,REC-HAM-2022-00005,Mid-Process,2022-01-02 07:53:06,82.6,17.09,0.31,996.3,7.54,2.31,46.1,17.7,0.0542,0.289,13.82,3.6,1.3,313.5,8933.2,58.7,8262.2,1.422,7.16,6.67,0.0475,47.72,67.97,9.5,49.7
LAB-HAM-2022-00019,REC-HAM-2022-00005,Oil Output,2022-01-04 06:53:06,2.23,98.67,0.01,907.7,18.4,3.97,51.8,17.7,0.0434,0.173,13.82,3.2,1.2,156.8,893.3,17.6,413.1,1.422,41.86,39.27,0.0475,47.72,6.8,1.0,49.7
LAB-HAM-2022-00020,REC-HAM-2022-00005,Solids Output,2022-01-03 15:53:06,12.53,7.66,79.81,1771.3,,,,17.7,0.0542,0.289,13.82,3.6,1.3,313.5,8933.2,58.7,8262.2,1.422,3.28,3.1,0.0475,47.72,67.97,9.5,49.7
LAB-MLT-2022-00004,REC-MLT-2022-00002,Inlet,2022-01-04 10:16:29,81.02,14.58,4.4,1013.3,26.08,4.88,48.2,-1.8,3.1383,1.287,8.89,243.2,76.4,204.4,14133.4,26.7,21796.5,4.737,6.34,5.93,0.0762,25.54,111.45,1.0,8.0
LAB-MLT-2022-00005,REC-MLT-2022-00002,Mid-Process,2022-01-03 11:16:29,69.87,28.52,1.61,980.9,16.25,3.69,45.8,-1.8,3.1383,1.287,8.89,243.2,76.4,204.4,14133.4,26.7,21796.5,4.737,12.43,11.73,0.0762,25.54,111.45,1.0,8.0
LAB-MLT-2022-00006,REC-MLT-2022-00002,Oil Output,2022-01-04 17:16:29,1.03,98.15,0.82,831.8,55.13,7.49,53.0,-1.8,2.5106,0.772,8.89,218.9,68.8,102.2,1413.3,8.0,1089.8,4.737,39.84,38.14,0.0762,25.54,11.15,0.1,8.0
LAB-HAM-2022-00021,REC-HAM-2022-00006,Inlet,2022-01-04 12:08:03,14.18,81.22,4.6,945.8,290.51,18.72,70.6,26.2,0.0951,2.214,15.45,3.7,1.5,334.5,198.0,28.1,87.3,2.155,35.39,33.84,0.0558,18.9,192.32,0.5,15.3
LAB-HAM-2022-00022,REC-HAM-2022-00006,Mid-Process,2022-01-04 17:08:03,9.29,87.33,3.38,916.6,134.71,12.31,67.1,26.2,0.0951,2.214,15.45,3.7,1.5,334.5,198.0,28.1,87.3,2.155,38.24,36.61,0.0558,18.9,192.32,0.5,15.3
LAB-HAM-2022-00023,REC-HAM-2022-00006,Oil Output,2022-01-04 18:08:03,2.86,97.83,0.01,896.1,39.83,6.23,62.0,26.2,0.0761,1.328,15.45,3.3,1.4,167.2,19.8,8.4,4.4,2.155,41.13,38.95,0.0558,18.9,19.23,0.1,15.3
LAB-PIR-2022-00018,REC-PIR-2022-00006,Inlet,2022-01-04 05:48:09,35.61,37.83,26.56,1071.0,14689.76,150.11,140.0,-4.4,0.2256,1.071,9.54,40.3,16.5,317.2,353.1,15.5,286.0,2.414,15.46,14.5,0.0146,8.43,96.97,31.4,24.2
LAB-PIR-2022-00019,REC-PIR-2022-00006,Mid-Process,2022-01-03 06:48:09,27.36,48.15,24.49,997.4,10269.84,124.37,133.0,-4.4,0.2256,1.071,9.54,40.3,16.5,317.2,353.1,15.5,286.0,2.414,20.64,19.26,0.0146,8.43,96.97,31.4,24.2
LAB-PIR-2022-00020,REC-PIR-2022-00006,Oil Output,2022-01-03 15:48:09,0.17,92.97,6.86,908.2,15.8,3.63,181.7,-4.4,0.1805,0.643,9.54,36.3,14.8,158.6,35.3,4.6,14.3,2.414,38.27,35.99,0.0146,8.43,9.7,3.1,24.2
LAB-MLT-2022-00007,REC-MLT-2022-00003,Inlet,2022-01-03 02:03:24,18.97,65.72,15.31,937.1,7736.55,107.16,150.9,-8.9,0.0965,1.764,17.38,1.7,0.5,456.9,109.0,65.2,457.5,3.075,26.78,25.39,0.0467,2.36,65.58,47.7,40.4
LAB-MLT-2022-00008,REC-MLT-2022-00003,Mid-Process,2022-01-04 15:03:24,12.0,74.43,13.57,970.4,4494.89,80.51,143.4,-8.9,0.0965,1.764,17.38,1.7,0.5,456.9,109.0,65.2,457.5,3.075,32.35,30.11,0.0467,2.36,65.58,47.7,40.4
LAB-MLT-2022-00009,REC-MLT-2022-00003,Oil Output,2022-01-03 03:03:24,0.24,96.16,3.6,916.7,57.13,7.64,100.5,-8.9,0.0772,1.058,17.38,1.5,0.5,228.4,10.9,19.6,22.9,3.075,41.66,39.42,0.0467,2.36,6.56,4.8,40.4
LAB-MLT-2022-00010,REC-MLT-2022-00003,Solids Output,2022-01-04 09:03:24,18.22,6.66,75.12,1513.8,,,,-8.9,0.0965,1.764,17.38,1.7,0.5,456.9,109.0,65.2,457.5,3.075,2.84,2.48,0.0467,2.36,65.58,47.7,40.4
LAB-PIR-2022-00021,REC-PIR-2022-00007,Inlet,2022-01-04 21:31:45,89.52,7.58,2.9,1010.7,18.6,4.0,67.1,27.7,3.5071,1.882,9.4,112.6,42.8,413.7,28176.2,32.0,242.0,1.375,3.03,2.88,0.0377,26.91,74.49,0.3,34.0
LAB-PIR-2022-00022,REC-PIR-2022-00007,Mid-Process,2022-01-03 06:31:45,83.43,15.2,1.37,1003.3,9.84,2.73,63.7,27.7,3.5071,1.882,9.4,112.6,42.8,413.7,28176.2,32.0,242.0,1.375,6.66,6.39,0.0377,26.91,74.49,0.3,34.0
LAB-PIR-2022-00023,REC-PIR-2022-00007,Oil Output,2022-01-04 16:31:45,1.76,96.47,1.77,916.7,62.66,8.05,67.0,27.7,2.8057,1.129,9.4,101.3,38.5,206.8,2817.6,9.6,12.1,1.375,38.63,35.94,0.0377,26.91,7.45,0.0,34.0
LAB-GIB-2022-00012,REC-GIB-2022-00004,Inlet,2022-01-03 22:37:40,84.98,11.04,3.98,1014.4,18.39,3.97,66.1,24.1,2.26,1.671,7.41,169.4,44.1,260.7,18072.6,13.1,19621.6,3.89,4.83,4.52,0.0048,40.31,178.17,4.1,44.5
LAB-GIB-2022-00013,REC-GIB-2022-00004,Mid-Process,2022-01-04 20:37:40,71.85,27.46,0.69,978.5,9.77,2.71,62.8,24.1,2.26,1.671,7.41,169.4,44.1,260.7,18072.6,13.1,19621.6,3.89,12.01,11.32,0.0048,40.31,178.17,4.1,44.5
LAB-GIB-2022-00014,REC-GIB-2022-00004,Oil Output,2022-01-04 02:37:40,0.84,94.73,4.43,841.3,79.85,9.22,89.0,24.1,1.808,1.003,7.41,152.5,39.7,130.3,1807.3,3.9,981.1,3.89,38.84,36.29,0.0048,40.31,17.82,0.4,44.5
LAB-PIR-2022-00024,REC-PIR-2022-00008,Inlet,2022-01-03 05:59:42,93.35,6.0,0.65,996.0,32.82,5.57,41.3,6.6,0.3145,0.887,4.49,36.7,9.9,197.9,9051.9,65.1,171.9,1.081,2.56,2.42,0.0828,4.04,57.23,9.7,14.1
LAB-PIR-2022-00025,REC-PIR-2022-00008,Mid-Process,2022-01-04 14:59:42,76.23,23.76,0.01,976.5,18.99,4.05,39.2,6.6,0.3145,0.887,4.49,36.7,9.9,197.9,9051.9,65.1,171.9,1.081,10.06,9.65,0.0828,4.04,57.23,9.7,14.1
LAB-PIR-2022-00026,REC-PIR-2022-00008,Oil Output,2022-01-03 03:59:42,2.17,93.9,3.93,940.6,38.25,6.08,80.2,6.6,0.2516,0.532,4.49,33.0,8.9,99.0,905.2,19.5,8.6,1.081,40.21,38.06,0.0828,4.04,5.72,1.0,14.1
LAB-GIB-2022-00015,REC-GIB-2022-00005,Inlet,2022-01-04 05:50:32,30.73,62.12,7.15,923.7,349.91,20.7,86.4,-6.0,0.1296,0.263,10.1,41.8,10.0,395.2,386.1,75.6,457.9,4.26,27.33,25.69,0.0127,27.77,68.75,28.4,44.4
LAB-GIB-2022-00016,REC-GIB-2022-00005,Mid-Process,2022-01-04 12:50:32,19.17,76.56,4.27,939.8,196.32,15.13,82.1,-6.0,0.1296,0.263,10.1,41.8,10.0,395.2,386.1,75.6,457.9,4.26,31.65,30.14,0.0127,27.77,68.75,28.4,44.4
LAB-GIB-2022-00017,REC-GIB-2022-00005,Oil Output,2022-01-04 11:50:32,2.7,96.97,0.33,842.8,67.19,8.37,135.8,-6.0,0.1037,0.158,10.1,37.6,9.0,197.6,38.6,22.7,22.9,4.26,40.06,37.31,0.0127,27.77,6.88,2.8,44.4
LAB-GIB-2022-00018,REC-GIB-2022-00005,Water Output,2022-01-03 11:50:32,99.94,0.05,0.01,1006.9,2.51,1.39,,-6.0,0.1296,0.263,10.1,41.8,10.0,395.2,386.1,75.6,457.9,4.26,0.02,0.02,0.0127,27.77,68.75,28.4,44.4
LAB-PIR-2022-00027,REC-PIR-2022-00009,Inlet,2022-01-04 17:15:18,37.41,41.91,20.68,1011.2,11238.86,130.41,190.8,10.2,0.148,1.499,7.12,48.2,14.3,121.8,256.8,74.1,445.3,2.501,18.01,16.97,0.0081,13.06,183.1,46.0,156.3
LAB-PIR-2022-00028,REC-PIR-2022-00009,Mid-Process,2022-01-04 16:15:18,23.32,59.53,17.15,983.7,7816.43,107.74,181.3,10.2,0.148,1.499,7.12,48.2,14.3,121.8,256.8,74.1,445.3,2.501,25.42,23.7,0.0081,13.06,183.1,46.0,156.3
LAB-PIR-2022-00029,REC-PIR-2022-00009,Oil Output,2022-01-03 05:15:18,0.2,93.92,5.88,878.6,77.93,9.09,83.0,10.2,0.1184,0.899,7.12,43.4,12.9,60.9,25.7,22.2,22.3,2.501,37.78,35.9,0.0081,13.06,18.31,4.6,156.3
LAB-PIR-2022-00030,REC-PIR-2022-00009,Water Output,2022-01-04 14:15:18,99.96,0.03,0.01,1024.9,4.72,1.12,,10.2,0.148,1.499,7.12,48.2,14.3,121.8,256.8,74.1,445.3,2.501,0.01,0.01,0.0081,13.06,183.1,46.0,156.3
LAB-PIR-2022-00031,REC-PIR-2022-00009,Solids Output,2022-01-03 09:15:18,21.99,3.07,74.94,1410.7,,,,10.2,0.148,1.499,7.12,48.2,14.3,121.8,256.8,74.1,445.3,2.501,1.23,1.24,0.0081,13.06,183.1,46.0,156.3
LAB-PIR-2022-00032,REC-PIR-2022-00010,Inlet,2022-01-03 17:59:26,28.39,45.35,26.26,984.3,14178.22,147.34,124.1,-6.9,0.0964,1.439,12.81,4.6,1.7,355.0,345.3,73.7,52.6,0.4,19.65,18.81,0.0561,3.72,51.98,59.4,76.0
LAB-PIR-2022-00033,REC-PIR-2022-00010,Mid-Process,2022-01-03 08:59:26,22.62,52.57,24.81,1032.8,5888.91,92.82,117.9,-6.9,0.0964,1.439,12.81,4.6,1.7,355.0,345.3,73.7,52.6,0.4,21.42,20.44,0.0561,3.72,51.98,59.4,76.0
LAB-PIR-2022-00034,REC-PIR-2022-00010,Oil Output,2022-01-04 15:59:26,2.8,97.42,0.01,883.2,58.88,7.77,171.2,-6.9,0.0771,0.863,12.81,4.1,1.5,177.5,34.5,22.1,2.6,0.4,42.34,39.97,0.0561,3.72,5.2,5.9,76.0
LAB-PIR-2022-00035,REC-PIR-2022-00010,Water Output,2022-01-04 07:59:26,99.97,0.02,0.01,1006.4,3.58,1.39,,-6.9,0.0964,1.439,12.81,4.6,1.7,355.0,345.3,73.7,52.6,0.4,0.01,0.01,0.0561,3.72,51.98,59.4,76.0
LAB-PIR-2022-00036,REC-PIR-2022-00010,Solids Output,2022-01-04 05:59:26,16.91,3.79,79.3,1442.4,,,,-6.9,0.0964,1.439,12.81,4.6,1.7,355.0,345.3,73.7,52.6,0.4,1.62,1.55,0.0561,3.72,51.98,59.4,76.0
LAB-MLT-2022-00011,REC-MLT-2022-00004,Inlet,2022-01-04 18:29:46,91.23,7.38,1.39,1007.6,30.21,5.31,65.3,-9.6,0.0587,2.537,6.72,4.4,1.5,143.8,28316.7,53.9,185.9,3.346,3.15,3.0,0.0393,49.17,82.14,2.3,1.2
LAB-MLT-2022-00012,REC-MLT-2022-00004,Mid-Process,2022-01-04 18:29:46,77.87,22.12,0.01,967.1,19.15,4.07,62.0,-9.6,0.0587,2.537,6.72,4.4,1.5,143.8,28316.7,53.9,185.9,3.346,9.58,9.08,0.0393,49.17,82.14,2.3,1.2
LAB-MLT-2022-00013,REC-MLT-2022-00004,Oil Output,2022-01-04 23:29:46,0.6,97.75,1.65,882.8,51.07,7.17,31.2,-9.6,0.047,1.522,6.72,4.0,1.4,71.9,2831.7,16.2,9.3,3.346,39.5,37.85,0.0393,49.17,8.21,0.2,1.2
