batch_id,reception_id,start_timestamp,end_timestamp,facility_code,operator_id,operator_experience_years,separator_unit_id,pre_treatment,pre_settling_hours,target_oil_spec,batch_priority,total_volume_input_m3,total_oil_output_m3,total_water_output_m3,total_solids_output_kg,oil_recovery_yield_pct,energy_consumed_kwh,chemicals_cost_eur,labor_hours,total_processing_cost_eur,recovered_oil_revenue_eur,solid_fuel_revenue_eur,net_margin_eur,quality_pass,quality_failure_reason
BATCH-PIR-2022-00011,REC-PIR-2022-00012,2022-01-03 10:26:25,2022-01-03 19:18:37.000000,PIR,OP-PIR-02,7.2,PIR-DEC-001,Chemical Demulsification,7.0,MARPOL Annex I,Urgent,74.8,1.68,54.6,814.8,40.5,352.8,193.05,3.0,419.32,606.46,46.87,234.01,True,
BATCH-PIR-2022-00012,REC-PIR-2022-00013,2022-01-03 18:26:25,2022-01-03 20:02:41.000000,PIR,OP-PIR-05,4.9,PIR-DEC-002,None,0.9,MARPOL Annex I,Normal,31.7,0.67,27.18,801.0,46.13,149.2,347.56,1.0,424.5,257.51,32.82,-134.17,True,
BATCH-PIR-2022-00013,REC-PIR-2022-00014,2022-01-03 23:33:06,2022-01-04 09:17:09.428571,PIR,OP-PIR-04,24.3,PIR-DSC-003,None,3.7,IMO 2020 Compliant,Normal,211.2,0.19,170.48,3504.3,22.51,933.8,2644.39,8.7,3132.09,76.27,221.3,-2834.52,True,
BATCH-PIR-2022-00014,REC-PIR-2022-00015;REC-PIR-2022-00016;REC-PIR-2022-00017,2022-01-05 00:30:48,2022-01-05 18:13:45.600000,PIR,OP-PIR-05,4.9,PIR-DEC-003,None,0.1,MARPOL Annex I,Normal,880.8,6.12,669.89,23164.0,29.32,5037.1,8668.24,25.8,10430.05,2266.64,1489.36,-6674.05,True,
BATCH-PIR-2022-00015,REC-PIR-2022-00018,2022-01-05 14:36:35,2022-01-06 03:27:48.846154,PIR,OP-PIR-09,17.3,PIR-DAF-002,None,0.3,Recovered Oil Grade B,Normal,816.0,522.51,169.61,14403.0,87.13,4706.5,2904.74,23.5,5109.29,263695.97,475.76,259062.44,True,
BATCH-PIR-2022-00016,REC-PIR-2022-00019,2022-01-05 21:52:21,2022-01-06 04:55:48.000000,PIR,OP-PIR-10,15.8,PIR-HTG-001,None,5.2,MARPOL Annex I,Normal,222.9,53.34,76.61,7139.1,42.77,1157.2,2771.48,2.4,3000.12,26112.37,274.35,23386.6,True,
BATCH-PIR-2022-00017,REC-PIR-2022-00020,2022-01-06 02:10:53,2022-01-06 03:51:51.285714,PIR,OP-PIR-08,9.1,PIR-DSC-003,Chemical Demulsification,0.7,IMO 2020 Compliant,Deferred,34.4,5.43,19.18,1484.5,40.59,227.5,464.38,1.6,578.49,2905.71,85.69,2412.91,True,
BATCH-PIR-2022-00018,REC-PIR-2022-00021,2022-01-06 18:04:00,2022-01-07 01:38:30.000000,PIR,OP-PIR-09,17.3,PIR-GRV-002,None,3.9,Recovered Oil Grade A,Normal,220.5,43.0,94.2,3003.7,48.68,1276.5,966.7,4.4,1364.64,19309.04,65.74,18010.14,True,
BATCH-PIR-2022-00019,REC-PIR-2022-00022,2022-01-07 05:04:10,2022-01-07 11:11:40.000000,PIR,OP-PIR-01,3.9,PIR-DEC-001,None,5.4,Fuel Blend Feedstock,Deferred,29.0,1.16,21.57,676.3,43.31,125.6,141.98,1.4,207.86,560.32,22.71,375.17,True,
BATCH-PIR-2022-00020,REC-PIR-2022-00023,2022-01-07 06:05:10,2022-01-07 16:03:58.000000,PIR,OP-PIR-04,24.3,PIR-DAF-001,None,7.8,MARPOL Annex I,High,119.9,32.12,50.15,3856.6,55.25,751.6,618.35,3.3,924.9,13844.02,148.75,13067.87,True,
BATCH-PIR-2022-00021,REC-PIR-2022-00024,2022-01-07 07:27:35,2022-01-07 14:15:35.000000,PIR,OP-PIR-04,24.3,PIR-DAF-001,Heating,6.3,MARPOL Annex I,Deferred,26.1,0.52,22.13,1016.4,53.33,120.8,68.35,0.7,121.5,221.71,47.08,147.29,False,Sulfur specification exceeded
BATCH-PIR-2022-00022,REC-PIR-2022-00025,2022-01-07 07:48:12,2022-01-07 17:18:18.000000,PIR,OP-PIR-02,7.2,PIR-GRV-002,Heating,6.6,EU Waste Directive,Normal,174.1,31.83,83.49,8091.0,45.96,1196.7,1365.74,4.2,1734.14,16771.79,450.67,15488.32,True,
BATCH-PIR-2022-00023,REC-PIR-2022-00026,2022-01-07 10:39:19,2022-01-08 20:12:11.800000,PIR,OP-PIR-10,15.8,PIR-HTG-002,None,7.9,MARPOL Annex I,Normal,2564.8,1594.01,421.07,108016.3,78.4,15407.2,30860.92,32.7,34842.04,701520.52,2588.68,669267.16,True,
BATCH-PIR-2022-00024,REC-PIR-2022-00027,2022-01-07 14:47:06,2022-01-08 01:32:56.400000,PIR,OP-PIR-02,7.2,PIR-DEC-003,None,7.2,EU Waste Directive,Urgent,178.2,50.25,62.64,3619.5,46.65,1268.8,1722.01,4.6,2156.5,21733.42,209.63,19786.55,True,
BATCH-PIR-2022-00025,REC-PIR-2022-00028;REC-PIR-2022-00029,2022-01-07 17:06:43,2022-01-08 21:29:16.600000,PIR,OP-PIR-01,3.9,PIR-DSC-001,None,3.7,IMO 2020 Compliant,Urgent,616.9,174.76,282.33,6999.0,65.23,3404.7,8126.51,39.8,9971.59,81472.55,469.52,71970.48,True,
BATCH-PIR-2022-00026,REC-PIR-2022-00030,2022-01-08 01:56:43,2022-01-08 07:44:22.428571,PIR,OP-PIR-02,7.2,PIR-DSC-003,Heating,0.5,IMO 2020 Compliant,Normal,185.3,66.27,53.65,5269.2,57.07,967.8,2543.63,6.9,2937.08,24948.66,119.79,22131.37,True,
BATCH-PIR-2022-00027,REC-PIR-2022-00031,2022-01-08 07:50:04,2022-01-08 11:02:04.000000,PIR,OP-PIR-02,7.2,PIR-HTG-001,None,2.7,Recovered Oil Grade B,Scheduled,27.1,1.53,20.75,421.4,43.89,157.7,395.49,0.7,439.21,799.73,8.76,369.28,True,
BATCH-PIR-2022-00028,REC-PIR-2022-00032,2022-01-08 20:55:49,2022-01-09 05:31:05.800000,PIR,OP-PIR-03,10.7,PIR-HTG-002,None,7.7,MARPOL Annex I,High,88.8,25.89,23.62,693.7,45.37,680.6,1111.5,1.7,1311.49,12405.76,15.25,11109.52,True,
BATCH-PIR-2022-00029,REC-PIR-2022-00033,2022-01-08 23:31:54,2022-01-09 05:02:46.363636,PIR,OP-PIR-01,3.9,PIR-DAF-001,Filtration,3.1,MARPOL Annex I,High,132.8,20.85,55.46,1804.0,30.57,994.9,1230.46,3.9,1612.01,7695.87,127.46,6211.32,False,High water content in oil output
BATCH-PIR-2022-00030,REC-PIR-2022-00034,2022-01-09 03:56:51,2022-01-10 02:33:03.000000,PIR,OP-PIR-01,3.9,PIR-DSC-002,Gravity Separation,21.5,MARPOL Annex I,Normal,33.1,0.45,26.77,231.9,40.59,152.7,260.97,1.9,364.47,175.13,5.67,-183.67,False,High water content in oil output
BATCH-PIR-2022-00031,REC-PIR-2022-00035,2022-01-09 12:14:05,2022-01-09 16:26:05.000000,PIR,OP-PIR-04,24.3,PIR-DAF-002,Centrifugation,2.9,MARPOL Annex I,Normal,84.5,31.29,32.69,3293.9,69.74,555.2,942.17,1.5,1077.59,13935.09,191.27,13048.77,True,
BATCH-PIR-2022-00032,REC-PIR-2022-00036,2022-01-09 12:53:13,2022-01-09 14:38:58.000000,PIR,OP-PIR-04,24.3,PIR-DEC-001,Chemical Demulsification,1.0,IMO 2020 Compliant,High,30.5,8.86,9.26,921.1,47.97,198.8,72.1,0.9,142.68,4250.77,61.73,4169.82,True,
BATCH-PIR-2022-00033,REC-PIR-2022-00037,2022-01-09 19:19:42,2022-01-09 22:25:42.000000,PIR,OP-PIR-08,9.1,PIR-DEC-002,None,2.6,Fuel Blend Feedstock,Normal,19.0,1.15,13.38,121.5,54.28,82.7,76.47,0.5,104.16,450.0,5.49,351.33,True,
BATCH-PIR-2022-00034,REC-PIR-2022-00038,2022-01-10 00:05:33,2022-01-10 03:28:34.090909,PIR,OP-PIR-02,7.2,PIR-DAF-001,Centrifugation,2.6,EU Waste Directive,Normal,43.1,10.29,16.28,957.2,41.07,289.3,173.93,1.5,275.93,5140.98,66.46,4931.51,False,Viscosity out of spec
BATCH-PIR-2022-00035,REC-PIR-2022-00039;REC-PIR-2022-00040;REC-PIR-2022-00041,2022-01-10 02:15:57,2022-01-10 13:43:57.000000,PIR,OP-PIR-02,7.2,PIR-DSC-002,Centrifugation,6.4,MARPOL Annex I,Urgent,152.0,1.43,104.28,2965.8,29.76,778.9,975.67,9.4,1723.91,619.54,121.11,-983.26,False,Viscosity out of spec
BATCH-PIR-2022-00036,REC-PIR-2022-00042;REC-PIR-2022-00043;REC-PIR-2022-00044,2022-01-10 07:02:11,2022-01-10 20:54:59.000000,PIR,OP-PIR-01,3.9,PIR-DEC-001,Chemical Demulsification,1.4,Recovered Oil Grade A,Normal,499.2,35.75,283.87,16856.9,24.05,3828.3,1040.32,16.5,2505.98,14800.1,1124.8,13418.92,True,
BATCH-PIR-2022-00037,REC-PIR-2022-00045,2022-01-11 07:10:21,2022-01-12 04:58:21.000000,PIR,OP-PIR-03,10.7,PIR-GRV-001,Gravity Separation,21.3,Recovered Oil Grade A,Deferred,33.4,1.28,24.4,1274.9,48.56,153.8,470.9,0.5,507.06,503.06,80.16,76.16,True,
BATCH-PIR-2022-00038,REC-PIR-2022-00046,2022-01-11 19:20:58,2022-01-11 22:05:32.285714,PIR,OP-PIR-04,24.3,PIR-DSC-003,Centrifugation,1.0,EU Waste Directive,Normal,61.0,12.93,32.4,2406.3,49.82,317.5,828.23,3.0,1035.64,4933.19,156.99,4054.54,True,
BATCH-PIR-2022-00039,REC-PIR-2022-00047;REC-PIR-2022-00048;REC-PIR-2022-00049,2022-01-12 06:18:24,2022-01-16 14:26:17.142857,PIR,OP-PIR-08,9.1,PIR-DSC-003,None,5.6,Recovered Oil Grade B,Normal,3448.6,2238.23,698.3,99237.2,85.96,19525.2,15944.46,111.4,24707.66,1088023.4,4491.33,1067807.07,True,
BATCH-PIR-2022-00040,REC-PIR-2022-00050,2022-01-13 12:42:54,2022-01-13 18:14:06.000000,PIR,OP-PIR-05,4.9,PIR-DEC-002,Filtration,2.1,MARPOL Annex I,Normal,153.9,29.53,76.25,6721.5,44.52,691.4,1718.27,6.7,2207.95,12275.92,185.15,10253.12,True,
BATCH-PIR-2022-00041,REC-PIR-2022-00051,2022-01-13 21:38:28,2022-01-14 02:28:01.600000,PIR,OP-PIR-01,3.9,PIR-HTG-002,Centrifugation,1.6,Re-refinery Feedstock,Normal,322.6,114.2,82.28,9513.0,54.46,1985.1,4493.05,5.1,5038.63,53510.92,387.65,48859.94,True,
BATCH-PIR-2022-00042,REC-PIR-2022-00052,2022-01-14 05:10:27,2022-01-14 13:10:10.636364,PIR,OP-PIR-01,3.9,PIR-PLS-002,Heating,4.7,MARPOL Annex I,Normal,72.5,1.69,49.64,3583.7,28.22,326.0,291.88,6.3,743.36,766.13,145.71,168.48,True,
BATCH-PIR-2022-00043,REC-PIR-2022-00053,2022-01-14 08:17:51,2022-01-14 17:10:10.200000,PIR,OP-PIR-01,3.9,PIR-DSC-001,None,6.4,Re-refinery Feedstock,High,61.8,1.83,51.85,2738.3,50.03,350.4,175.78,3.2,409.22,771.67,146.81,509.26,False,Sediment content too high
BATCH-PIR-2022-00044,REC-PIR-2022-00054,2022-01-15 14:59:55,2022-01-16 06:37:07.000000,PIR,OP-PIR-10,15.8,PIR-DSC-001,Gravity Separation,13.2,IMO 2020 Compliant,High,60.5,15.49,26.96,1216.9,50.83,427.1,266.72,4.1,534.29,6087.91,64.84,5618.46,True,
BATCH-PIR-2022-00045,REC-PIR-2022-00055,2022-01-15 20:07:24,2022-01-16 04:05:05.538462,PIR,OP-PIR-05,4.9,PIR-DAF-002,Chemical Demulsification,5.9,MARPOL Annex I,Urgent,134.0,35.87,41.68,1994.9,46.96,921.2,896.28,2.1,1109.42,16201.18,78.97,15170.73,True,
BATCH-PIR-2022-00046,REC-PIR-2022-00056,2022-01-15 21:49:21,2022-01-16 17:41:54.600000,PIR,OP-PIR-06,21.6,PIR-DSC-001,Chemical Demulsification,1.8,IMO 2020 Compliant,High,451.9,159.06,163.68,10539.5,61.74,2212.2,5944.89,30.0,7564.73,60238.5,682.22,53355.99,True,
BATCH-PIR-2022-00047,REC-PIR-2022-00057,2022-01-16 00:36:48,2022-01-17 01:16:24.000000,PIR,OP-PIR-10,15.8,PIR-PLS-001,Gravity Separation,23.5,MARPOL Annex I,High,23.2,1.76,15.54,1066.5,56.93,131.1,75.81,2.3,243.65,895.32,74.0,725.67,True,
BATCH-PIR-2022-00048,REC-PIR-2022-00058,2022-01-16 01:32:23,2022-01-16 16:55:21.285714,PIR,OP-PIR-03,10.7,PIR-DSC-003,None,4.0,IMO 2020 Compliant,High,398.4,152.13,142.88,10443.7,63.74,2326.9,871.49,22.5,2067.02,58147.47,634.7,56715.15,True,
BATCH-PIR-2022-00049,REC-PIR-2022-00059;REC-PIR-2022-00060;REC-PIR-2022-00061,2022-01-16 13:29:29,2022-01-19 00:42:47.000000,PIR,OP-PIR-05,4.9,PIR-GRV-002,Filtration,5.7,MARPOL Annex I,Urgent,3211.3,2040.74,685.78,142524.1,82.01,17175.4,35638.45,87.5,41172.91,1070927.37,4374.12,1034128.58,True,
BATCH-PIR-2022-00050,REC-PIR-2022-00062;REC-PIR-2022-00063,2022-01-17 23:02:19,2022-01-18 11:48:23.800000,PIR,OP-PIR-05,4.9,PIR-DSC-001,None,4.6,Recovered Oil Grade A,Urgent,204.2,3.19,136.5,1495.3,18.35,920.5,504.1,8.8,1050.53,1476.3,116.18,541.95,True,
BATCH-PIR-2022-00051,REC-PIR-2022-00064;REC-PIR-2022-00065,2022-01-18 07:31:43,2022-01-18 13:54:13.000000,PIR,OP-PIR-05,4.9,PIR-PLS-001,Heating,2.1,IMO 2020 Compliant,Normal,85.5,0.9,67.37,1894.5,34.58,483.0,733.51,6.2,1205.67,476.53,59.31,-669.83,True,
BATCH-PIR-2022-00052,REC-PIR-2022-00066;REC-PIR-2022-00067,2022-01-18 17:33:47,2022-01-18 22:53:53.000000,PIR,OP-PIR-07,4.9,PIR-HTG-001,Centrifugation,4.0,Fuel Blend Feedstock,Normal,160.2,48.15,60.51,7449.0,59.43,775.3,1036.23,2.3,1230.08,24894.43,273.54,23937.89,True,
BATCH-PIR-2022-00053,REC-PIR-2022-00068,2022-01-18 22:04:01,2022-01-19 05:42:43.000000,PIR,OP-PIR-09,17.3,PIR-PLS-001,None,1.0,IMO 2020 Compliant,Normal,132.9,31.63,60.29,3170.1,55.34,932.1,925.21,12.3,1745.18,12334.67,102.93,10692.42,True,
BATCH-PIR-2022-00054,REC-PIR-2022-00069,2022-01-19 03:11:28,2022-01-19 17:32:20.800000,PIR,OP-PIR-04,24.3,PIR-DSC-001,Heating,6.4,Fuel Blend Feedstock,Normal,198.7,59.83,78.79,1505.7,59.02,1023.0,835.14,12.5,1646.71,25674.97,40.54,24068.8,True,
BATCH-PIR-2022-00055,REC-PIR-2022-00070,2022-01-19 05:32:48,2022-01-19 09:26:48.000000,PIR,OP-PIR-09,17.3,PIR-DSC-001,Centrifugation,3.4,MARPOL Annex I,Normal,10.4,0.39,8.98,212.5,46.78,40.7,93.48,0.8,148.32,160.85,13.8,26.33,True,
BATCH-PIR-2022-00056,REC-PIR-2022-00071,2022-01-19 11:14:53,2022-01-20 02:36:05.000000,PIR,OP-PIR-04,24.3,PIR-DEC-002,Gravity Separation,11.2,MARPOL Annex I,Normal,186.9,54.33,72.2,7828.1,57.78,1243.4,2310.97,4.3,2745.23,22986.38,491.14,20732.29,True,
BATCH-PIR-2022-00057,REC-PIR-2022-00072,2022-01-19 17:44:04,2022-01-20 12:13:06.400000,PIR,OP-PIR-01,3.9,PIR-DSC-001,None,3.0,MARPOL Annex I,Normal,387.1,85.83,179.11,7875.2,47.91,1842.9,5031.33,25.8,6169.0,34054.95,500.93,28386.88,True,
BATCH-PIR-2022-00058,REC-PIR-2022-00073,2022-01-19 18:25:23,2022-01-20 16:17:27.800000,PIR,OP-PIR-08,9.1,PIR-DSC-001,Gravity Separation,19.4,IMO 2020 Compliant,Urgent,61.7,2.17,42.44,3022.8,37.9,344.1,161.71,4.2,351.52,896.5,169.91,714.89,True,
BATCH-PIR-2022-00059,REC-PIR-2022-00074,2022-01-20 14:20:29,2022-01-20 17:58:07.181818,PIR,OP-PIR-05,4.9,PIR-PLS-002,Chemical Demulsification,1.5,Recovered Oil Grade A,Urgent,46.8,1.54,40.5,1117.4,37.55,216.5,603.31,4.2,802.63,785.36,25.07,7.8,True,
BATCH-PIR-2022-00060,REC-PIR-2022-00075,2022-01-20 20:55:59,2022-01-23 20:05:35.000000,PIR,OP-PIR-08,9.1,PIR-DSC-003,Gravity Separation,2.4,Fuel Blend Feedstock,High,2406.6,1618.58,486.12,100581.1,85.7,12626.8,33032.48,106.0,38538.77,698151.63,4222.48,663835.34,True,
BATCH-PIR-2022-00061,REC-PIR-2022-00076,2022-01-20 23:17:43,2022-01-21 01:08:07.000000,PIR,OP-PIR-09,17.3,PIR-DSC-003,None,0.1,IMO 2020 Compliant,Scheduled,60.9,2.22,42.11,1579.6,34.41,302.5,388.98,1.8,490.32,1077.85,57.15,644.68,True,
BATCH-PIR-2022-00062,REC-PIR-2022-00077,2022-01-21 01:07:47,2022-01-21 04:22:51.000000,PIR,OP-PIR-03,10.7,PIR-DEC-002,Heating,2.4,MARPOL Annex I,Scheduled,38.3,2.1,27.43,1549.1,56.42,176.6,140.1,1.5,266.14,853.66,40.99,628.51,True,
BATCH-PIR-2022-00063,REC-PIR-2022-00078,2022-01-21 05:04:30,2022-01-21 07:21:07.714286,PIR,OP-PIR-10,15.8,PIR-DSC-003,None,0.5,EU Waste Directive,Normal,62.2,2.77,42.24,2082.9,56.19,353.4,841.41,3.1,1053.13,1021.92,161.7,130.49,False,Viscosity out of spec
BATCH-PIR-2022-00064,REC-PIR-2022-00079,2022-01-21 13:52:06,2022-01-21 18:49:06.000000,PIR,OP-PIR-03,10.7,PIR-DEC-001,Centrifugation,3.0,Recovered Oil Grade B,Normal,78.0,2.02,62.45,3152.3,39.6,414.2,622.71,3.1,807.72,948.08,111.05,251.41,True,
BATCH-PIR-2022-00065,REC-PIR-2022-00080,2022-01-21 14:47:27,2022-01-23 08:44:11.571429,PIR,OP-PIR-10,15.8,PIR-DSC-003,Gravity Separation,1.5,IMO 2020 Compliant,High,1415.6,1059.0,192.23,20093.5,89.43,8516.2,5201.02,62.2,10160.44,422513.05,756.26,413108.87,True,
BATCH-PIR-2022-00066,REC-PIR-2022-00081,2022-01-21 15:44:39,2022-01-22 10:49:51.000000,PIR,OP-PIR-10,15.8,PIR-DSC-002,Filtration,1.7,IMO 2020 Compliant,Scheduled,521.6,107.39,234.11,11985.6,53.95,3092.4,5469.61,27.2,7573.81,44866.52,782.31,38075.02,True,
BATCH-PIR-2022-00067,REC-PIR-2022-00082,2022-01-21 21:49:47,2022-01-22 05:11:08.600000,PIR,OP-PIR-08,9.1,PIR-DEC-003,None,5.5,IMO 2020 Compliant,Urgent,92.8,17.78,35.32,3114.0,40.33,653.4,186.12,2.1,358.29,7800.28,86.41,7528.4,True,
BATCH-PIR-2022-00068,REC-PIR-2022-00083,2022-01-22 00:04:28,2022-01-22 11:35:04.000000,PIR,OP-PIR-05,4.9,PIR-PLS-001,Gravity Separation,3.8,MARPOL Annex I,Normal,154.2,104.99,13.71,3909.8,75.94,794.1,1168.42,13.5,2093.68,42395.49,193.78,40495.59,True,
BATCH-PIR-2022-00069,REC-PIR-2022-00084,2022-01-22 12:16:40,2022-01-22 20:10:22.000000,PIR,OP-PIR-06,21.6,PIR-GRV-002,Heating,7.1,MARPOL Annex I,High,47.7,3.55,35.22,1311.9,57.88,244.2,349.08,1.0,439.54,1607.43,104.41,1272.3,True,
BATCH-PIR-2022-00070,REC-PIR-2022-00085,2022-01-22 14:59:37,2022-01-23 02:53:04.272727,PIR,OP-PIR-10,15.8,PIR-PLS-002,Heating,6.1,Re-refinery Feedstock,Scheduled,127.4,48.8,51.15,4650.8,67.87,881.3,1224.2,9.4,1857.2,24686.32,346.32,23175.44,True,
BATCH-PIR-2022-00071,REC-PIR-2022-00086,2022-01-23 03:05:36,2022-01-23 04:30:27.428571,PIR,OP-PIR-07,4.9,PIR-DSC-003,None,0.3,Recovered Oil Grade A,Scheduled,39.0,10.98,15.8,1234.2,53.22,296.3,94.45,1.3,182.3,4946.74,64.31,4828.75,True,
BATCH-PIR-2022-00072,REC-PIR-2022-00087,2022-01-23 03:27:09,2022-01-23 05:14:37.000000,PIR,OP-PIR-09,17.3,PIR-DEC-002,Chemical Demulsification,0.3,MARPOL Annex I,Normal,67.1,15.18,37.45,1155.8,58.2,488.9,592.68,2.3,811.71,7574.57,90.14,6853.0,True,
BATCH-PIR-2022-00073,REC-PIR-2022-00088,2022-01-23 12:07:39,2022-01-23 14:09:30.272727,PIR,OP-PIR-08,9.1,PIR-DAF-001,Chemical Demulsification,1.5,EU Waste Directive,Scheduled,29.2,1.08,25.02,338.5,48.0,130.4,289.35,0.9,345.97,447.6,8.49,110.12,True,
BATCH-PIR-2022-00074,REC-PIR-2022-00089,2022-01-23 21:50:45,2022-01-24 15:24:10.714286,PIR,OP-PIR-03,10.7,PIR-DSC-004,None,4.9,EU Waste Directive,High,354.4,111.55,154.22,11967.3,62.54,1726.0,5291.32,25.0,6727.59,46377.62,679.77,40329.8,True,
BATCH-PIR-2022-00075,REC-PIR-2022-00090,2022-01-23 23:12:48,2022-01-24 07:58:12.000000,PIR,OP-PIR-09,17.3,PIR-DSC-002,Gravity Separation,3.5,MARPOL Annex I,High,157.7,30.16,72.41,3221.7,52.4,1031.9,989.6,6.0,1419.34,14521.01,201.43,13303.1,False,Sediment content too high
BATCH-PIR-2022-00076,REC-PIR-2022-00091,2022-01-24 00:49:34,2022-01-24 07:39:46.923077,PIR,OP-PIR-09,17.3,PIR-DAF-002,Heating,4.2,EU Waste Directive,Normal,171.4,37.34,85.77,5029.2,48.58,1128.6,1162.47,2.8,1399.9,14387.19,135.08,13122.37,False,High water content in oil output
BATCH-PIR-2022-00077,REC-PIR-2022-00092,2022-01-24 03:08:53,2022-01-24 22:08:53.000000,PIR,OP-PIR-01,3.9,PIR-GRV-001,Gravity Separation,18.5,EU Waste Directive,High,25.0,1.14,16.53,566.9,56.1,153.4,128.06,0.6,186.16,592.77,23.55,430.16,False,Viscosity out of spec
BATCH-PIR-2022-00078,REC-PIR-2022-00093;REC-PIR-2022-00094;REC-PIR-2022-00095,2022-01-24 10:48:42,2022-01-25 02:47:01.200000,PIR,OP-PIR-10,15.8,PIR-DEC-003,Heating,3.5,MARPOL Annex I,Scheduled,623.6,28.23,421.26,26740.5,50.82,2876.9,8712.27,15.9,10151.53,14074.01,1762.91,5685.39,True,
BATCH-PIR-2022-00079,REC-PIR-2022-00096,2022-01-24 14:49:09,2022-01-25 17:16:23.400000,PIR,OP-PIR-05,4.9,PIR-DEC-003,Gravity Separation,23.0,MARPOL Annex I,High,172.7,19.04,106.25,2760.0,42.62,1218.5,2033.41,5.7,2568.43,9787.25,159.23,7378.05,True,
BATCH-PIR-2022-00080,REC-PIR-2022-00097;REC-PIR-2022-00098;REC-PIR-2022-00099,2022-01-24 15:20:59,2022-01-25 03:53:59.000000,PIR,OP-PIR-05,4.9,PIR-DSC-004,Chemical Demulsification,2.4,Recovered Oil Grade A,Normal,284.2,7.12,228.88,13928.6,49.62,1376.4,639.07,14.9,1409.17,3676.7,999.89,3267.42,True,
BATCH-PIR-2022-00081,REC-PIR-2022-00100,2022-01-24 23:40:45,2022-01-25 02:27:15.000000,PIR,OP-PIR-10,15.8,PIR-HTG-002,None,1.4,Recovered Oil Grade A,Normal,137.5,29.1,84.04,1199.4,66.35,956.9,1641.71,2.2,1881.87,14936.93,27.76,13082.82,True,
