voyage_id,vessel_id,vessel_name,vessel_class,departure_port,departure_time,arrival_port,arrival_time,distance_nm,voyage_duration_hrs,sea_time_hrs,port_time_hrs,waiting_time_hrs,avg_speed_knots,fuel_consumed_mt,cargo_loaded_m3,cargo_discharged_m3,revenue_eur,fuel_cost_eur,port_charges_eur,total_voyage_cost_eur,voyage_margin_eur,weather_delays_hrs,mechanical_delays_hrs,collections_count,avg_collection_time_hrs
VOY-2022-00016,HEC-CS-001,HEC Nereid,Coastal Small,TAN,2022-03-09 06:26:06.259386,LIM,2022-03-21 19:11:15.318403,2220.0,300.8,267.7,9.0,23.5,8.3,37.5,406.3,399.8,13848.0,15619.0,2130.0,17748.0,-3900.0,0.6,0.0,3,3.0
VOY-2022-00017,HEC-CS-001,HEC Nereid,Coastal Small,LIM,2022-03-22 03:18:19.258528,PIR,2022-03-25 07:50:48.144683,520.0,76.5,63.6,9.0,3.7,8.2,8.9,460.4,441.5,11607.0,4737.0,2549.0,7285.0,4321.0,0.2,0.0,6,1.5
VOY-2022-00018,HEC-CS-001,HEC Nereid,Coastal Small,PIR,2022-03-25 21:27:50.885308,ALE,2022-03-29 13:45:06.377246,520.0,88.3,65.0,8.0,12.1,8.0,8.9,303.8,297.5,8547.0,3648.0,2535.0,6184.0,2363.0,3.2,0.0,5,1.6
VOY-2022-00019,HEC-CS-001,HEC Nereid,Coastal Small,ALE,2022-03-31 11:43:35.755431,PSD,2022-04-01 20:00:22.697793,110.0,32.3,14.1,7.0,0.5,7.8,2.0,322.4,317.2,14196.0,1101.0,3466.0,4567.0,9629.0,2.7,8.0,6,1.2
VOY-2022-00020,HEC-CS-001,HEC Nereid,Coastal Small,PSD,2022-04-02 17:21:45.397959,ALG,2022-04-13 15:53:13.339469,1960.0,262.5,246.0,11.0,5.0,8.0,35.7,380.5,365.1,8588.0,18959.0,4637.0,23596.0,-15008.0,0.5,0.0,8,1.4
VOY-2022-00021,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2022-04-13 22:59:14.785412,GIB,2022-04-14 07:30:17.733237,5.0,8.5,0.6,4.0,3.9,8.1,0.2,346.1,335.2,13583.0,119.0,1729.0,1848.0,11735.0,0.0,0.0,6,0.7
VOY-2022-00022,HEC-CS-001,HEC Nereid,Coastal Small,GIB,2022-04-15 05:28:57.235414,ALG,2022-04-15 20:40:32.640807,5.0,15.2,0.6,10.0,4.3,8.4,0.5,345.0,328.8,13502.0,226.0,2634.0,2860.0,10642.0,0.3,0.0,3,3.3
VOY-2022-00023,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2022-04-17 07:25:14.638307,GIB,2022-04-17 21:46:23.694088,5.0,14.4,0.7,10.0,1.5,7.7,0.5,293.6,285.3,6276.0,202.0,2162.0,2364.0,3912.0,2.2,0.0,4,2.5
VOY-2022-00024,HEC-CS-001,HEC Nereid,Coastal Small,GIB,2022-04-18 18:45:21.548264,GEN,2022-04-23 17:38:42.189587,870.0,118.9,108.2,6.0,1.7,8.0,15.5,415.1,405.8,6721.0,6536.0,2431.0,8967.0,-2246.0,3.0,0.0,5,1.2
VOY-2022-00025,HEC-CS-001,HEC Nereid,Coastal Small,GEN,2022-04-25 02:25:54.604306,ALG,2022-04-30 11:31:33.509382,900.0,129.1,115.4,11.0,0.8,7.8,15.3,404.5,388.9,16544.0,6752.0,1852.0,8605.0,7939.0,1.9,0.0,3,3.7
VOY-2022-00026,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2022-05-01 21:15:01.701391,MRS,2022-05-06 11:58:12.230852,750.0,110.7,98.3,9.0,3.1,7.6,14.0,265.8,263.2,10207.0,5822.0,4570.0,10392.0,-185.0,0.3,0.0,6,1.5
VOY-2022-00027,HEC-CS-001,HEC Nereid,Coastal Small,MRS,2022-05-07 03:44:23.498439,ALE,2022-05-15 21:07:16.158549,1570.0,209.4,195.7,8.0,1.8,8.0,28.0,375.0,367.8,10263.0,13831.0,3481.0,17312.0,-7049.0,1.7,2.2,5,1.6
VOY-2022-00028,HEC-CS-001,HEC Nereid,Coastal Small,ALE,2022-05-16 05:22:52.199691,TAN,2022-05-29 05:16:51.949024,2340.0,311.9,306.1,4.0,1.8,7.6,43.0,358.5,349.2,16358.0,19034.0,5661.0,24696.0,-8338.0,0.0,0.0,7,0.6
VOY-2022-00029,HEC-CS-001,HEC Nereid,Coastal Small,TAN,2022-05-29 21:52:40.667837,ALE,2022-06-12 16:49:17.332598,2340.0,330.9,312.2,9.0,5.3,7.5,39.5,318.8,315.3,15460.0,19194.0,1659.0,20852.0,-5393.0,4.4,0.0,4,2.2
VOY-2022-00030,HEC-CS-001,HEC Nereid,Coastal Small,ALE,2022-06-14 08:57:53.973929,PSD,2022-06-15 18:43:19.068440,110.0,33.8,14.5,11.0,6.7,7.6,2.2,324.7,309.2,10265.0,895.0,2305.0,3200.0,7065.0,1.6,0.0,3,3.7
VOY-2022-00031,HEC-CS-001,HEC Nereid,Coastal Small,PSD,2022-06-16 22:32:30.311681,ALE,2022-06-17 18:18:23.905037,110.0,19.8,13.3,5.0,1.3,8.3,1.8,441.9,422.2,12244.0,703.0,3572.0,4275.0,7969.0,0.2,0.0,4,1.2
VOY-2022-00032,HEC-CS-001,HEC Nereid,Coastal Small,ALE,2022-06-19 08:34:01.016069,TAN,2022-07-03 00:00:41.814112,2340.0,327.4,311.9,11.0,0.1,7.5,41.1,451.0,432.9,15690.0,20258.0,3200.0,23458.0,-7768.0,4.4,0.0,5,2.2
VOY-2022-00033,HEC-CS-001,HEC Nereid,Coastal Small,TAN,2022-07-03 14:03:21.649113,ALG,2022-07-04 00:00:55.349246,15.0,10.0,1.9,4.0,2.2,8.1,0.4,434.8,413.7,16112.0,204.0,2427.0,2631.0,13481.0,1.9,0.0,3,1.3
VOY-2022-00034,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2022-07-04 11:45:26.705651,GIB,2022-07-05 02:51:22.907247,5.0,15.1,0.6,6.0,5.8,8.3,0.3,386.9,369.5,14571.0,153.0,3877.0,4029.0,10542.0,2.7,0.0,7,0.9
VOY-2022-00035,HEC-CS-001,HEC Nereid,Coastal Small,GIB,2022-07-06 20:58:45.549325,TAN,2022-07-07 08:44:32.212336,20.0,11.8,2.4,8.0,0.8,8.5,0.6,287.2,278.1,13293.0,237.0,2923.0,3160.0,10132.0,0.6,0.0,3,2.7
VOY-2022-00036,HEC-CS-001,HEC Nereid,Coastal Small,TAN,2022-07-08 17:04:31.489202,GEN,2022-07-14 04:28:58.973586,940.0,131.4,123.1,8.0,0.2,7.6,16.4,266.5,259.5,9361.0,7392.0,2553.0,9945.0,-583.0,0.1,0.0,5,1.6
VOY-2022-00037,HEC-CS-001,HEC Nereid,Coastal Small,GEN,2022-07-14 13:50:17.797861,MRS,2022-07-15 23:57:41.056403,180.0,34.1,22.9,8.0,0.6,7.9,3.4,383.2,370.9,16595.0,1370.0,1987.0,3357.0,13238.0,2.6,0.0,4,2.0
VOY-2022-00038,HEC-CS-001,HEC Nereid,Coastal Small,MRS,2022-07-17 08:01:55.301000,LIM,2022-07-25 00:15:43.972818,1520.0,184.2,177.9,6.0,0.3,8.5,24.4,352.5,345.1,8193.0,11997.0,1121.0,13117.0,-4924.0,0.0,0.0,3,2.0
VOY-2022-00039,HEC-CS-001,HEC Nereid,Coastal Small,LIM,2022-07-26 07:20:29.821759,MRS,2022-08-03 21:47:37.203294,1520.0,206.5,194.1,5.0,4.3,7.8,26.2,377.7,369.3,14367.0,11229.0,1960.0,13189.0,1178.0,1.5,1.6,8,0.6
VOY-2022-00040,HEC-CS-001,HEC Nereid,Coastal Small,MRS,2022-08-05 04:50:02.188672,IST,2022-08-12 21:53:33.266062,1360.0,185.1,172.2,6.0,5.0,7.9,22.2,336.0,333.5,16495.0,11610.0,3439.0,15049.0,1446.0,0.2,1.7,4,1.5
VOY-2022-00041,HEC-CS-001,HEC Nereid,Coastal Small,IST,2022-08-14 06:27:32.138882,MRS,2022-08-21 18:16:33.306335,1360.0,179.8,169.8,8.0,1.4,8.0,21.6,341.0,338.5,11049.0,12864.0,2407.0,15270.0,-4222.0,0.6,0.0,6,1.3
VOY-2022-00042,HEC-CS-001,HEC Nereid,Coastal Small,MRS,2022-08-22 14:22:37.801500,ALG,2022-08-26 19:40:12.426658,750.0,101.3,89.3,6.0,5.0,8.4,11.4,437.2,415.4,14178.0,5838.0,2340.0,8179.0,5999.0,1.0,0.0,5,1.2
VOY-2022-00043,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2022-08-27 13:38:43.558544,GIB,2022-08-27 22:43:47.447647,5.0,9.1,0.6,8.0,0.3,8.6,0.4,296.9,284.8,8929.0,162.0,2075.0,2237.0,6693.0,0.2,0.0,8,1.0
VOY-2022-00044,HEC-CS-001,HEC Nereid,Coastal Small,GIB,2022-08-28 15:22:59.020327,PIR,2022-09-05 11:55:26.588615,1310.0,188.5,175.3,7.0,5.0,7.5,25.4,340.9,338.8,7339.0,14100.0,1871.0,15972.0,-8632.0,0.3,0.9,6,1.2
VOY-2022-00045,HEC-CS-001,HEC Nereid,Coastal Small,PIR,2022-09-06 03:54:28.085051,ALG,2022-09-13 17:36:18.691342,1330.0,181.7,155.8,5.0,17.5,8.5,20.9,359.5,344.9,17831.0,10407.0,4034.0,14441.0,3390.0,3.4,0.0,5,1.0
VOY-2022-00046,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2022-09-15 13:08:02.138812,GIB,2022-09-16 05:23:03.433123,5.0,16.3,0.7,11.0,3.0,7.7,0.5,355.8,340.9,7372.0,254.0,2914.0,3168.0,4204.0,1.6,0.0,7,1.6
VOY-2022-00047,HEC-CS-001,HEC Nereid,Coastal Small,GIB,2022-09-17 01:39:51.245136,TAN,2022-09-17 11:16:52.566197,20.0,9.6,2.6,6.0,0.8,7.6,0.6,413.5,397.7,15959.0,258.0,3405.0,3663.0,12296.0,0.2,0.0,4,1.5
VOY-2022-00048,HEC-CS-001,HEC Nereid,Coastal Small,TAN,2022-09-18 09:57:46.730477,GIB,2022-09-19 03:40:57.553227,20.0,17.7,2.5,5.0,3.1,7.9,0.5,316.4,309.5,11984.0,263.0,2063.0,2326.0,9658.0,7.1,0.0,4,1.2
VOY-2022-00049,HEC-CS-001,HEC Nereid,Coastal Small,GIB,2022-09-19 12:19:36.078108,TAN,2022-09-19 22:42:19.956061,20.0,10.4,2.7,4.0,2.8,7.5,0.5,427.0,417.0,18979.0,212.0,3073.0,3285.0,15694.0,0.9,0.0,6,0.7
VOY-2022-00050,HEC-CS-001,HEC Nereid,Coastal Small,TAN,2022-09-21 12:01:27.526977,ALG,2022-09-21 22:53:00.393102,15.0,10.9,1.9,4.0,1.6,8.1,0.4,398.0,384.2,11677.0,228.0,2264.0,2491.0,9186.0,3.4,0.0,6,0.7
VOY-2022-00051,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2022-09-22 14:54:01.882506,TAN,2022-09-23 04:23:20.359201,15.0,13.5,1.8,9.0,1.0,8.4,0.6,343.5,327.7,9433.0,304.0,4531.0,4835.0,4598.0,1.7,0.0,5,1.8
VOY-2022-00052,HEC-CS-001,HEC Nereid,Coastal Small,TAN,2022-09-24 13:19:12.251515,ALG,2022-09-25 01:27:56.440505,15.0,12.1,1.9,5.0,4.0,7.7,0.5,448.3,426.6,17203.0,282.0,3160.0,3442.0,13761.0,1.2,0.0,4,1.2
VOY-2022-00053,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2022-09-26 02:14:18.840037,GIB,2022-09-26 10:57:38.338979,5.0,8.7,0.6,7.0,0.7,8.0,0.4,308.8,303.2,10707.0,200.0,4941.0,5141.0,5566.0,0.4,0.0,7,1.0
VOY-2022-00054,HEC-CS-001,HEC Nereid,Coastal Small,GIB,2022-09-26 17:40:37.510315,ALG,2022-09-27 04:12:38.554345,5.0,10.5,0.6,6.0,1.5,7.9,0.3,447.9,439.4,11545.0,142.0,2259.0,2402.0,9144.0,2.4,0.0,3,2.0
VOY-2022-00055,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2022-09-29 01:48:15.213975,LIM,2022-10-09 00:28:21.339956,1780.0,238.7,226.9,8.0,1.8,7.8,28.2,368.0,365.2,10536.0,12398.0,3099.0,15497.0,-4961.0,2.0,0.0,4,2.0
VOY-2022-00056,HEC-CS-001,HEC Nereid,Coastal Small,LIM,2022-10-11 00:15:38.693196,MLT,2022-10-16 14:00:46.941596,950.0,133.8,120.9,11.0,1.5,7.9,16.9,328.0,323.5,8972.0,6964.0,5007.0,11971.0,-2998.0,0.4,0.0,8,1.4
VOY-2022-00057,HEC-CS-001,HEC Nereid,Coastal Small,MLT,2022-10-18 04:02:57.591969,GIB,2022-10-24 02:45:22.241455,1060.0,142.7,132.3,8.0,0.8,8.0,16.6,367.4,355.9,7555.0,8532.0,4701.0,13233.0,-5678.0,0.4,1.2,5,1.6
VOY-2022-00058,HEC-CS-001,HEC Nereid,Coastal Small,GIB,2022-10-25 13:52:52.976945,PSD,2022-11-04 23:22:58.251783,1960.0,249.5,239.0,6.0,1.5,8.2,32.1,346.4,335.4,16114.0,18739.0,4401.0,23140.0,-7026.0,3.0,0.0,5,1.2
VOY-2022-00059,HEC-CS-001,HEC Nereid,Coastal Small,PSD,2022-11-06 03:13:26.357096,TAN,2022-11-19 21:33:20.681486,2350.0,330.3,311.6,10.0,7.0,7.5,40.8,451.1,429.7,14802.0,21237.0,3518.0,24754.0,-9952.0,1.7,0.0,4,2.5
VOY-2022-00060,HEC-CS-001,HEC Nereid,Coastal Small,TAN,2022-11-21 19:54:09.926258,ALG,2022-11-22 18:54:43.860898,15.0,23.0,1.8,10.0,4.8,8.3,0.7,294.3,291.3,7083.0,334.0,2677.0,3011.0,4071.0,6.4,0.0,3,3.3
VOY-2022-00061,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2022-11-23 13:26:28.685898,TAN,2022-11-24 13:10:10.909015,15.0,23.7,2.0,11.0,6.4,7.4,0.7,332.4,320.3,16303.0,293.0,4867.0,5161.0,11143.0,4.3,0.0,8,1.4
VOY-2022-00062,HEC-CS-001,HEC Nereid,Coastal Small,TAN,2022-11-25 07:32:06.189446,GIB,2022-11-26 12:11:24.033135,20.0,28.7,2.6,4.0,16.2,7.8,0.5,281.1,278.1,10223.0,203.0,2741.0,2943.0,7280.0,5.9,0.0,4,1.0
VOY-2022-00063,HEC-CS-001,HEC Nereid,Coastal Small,GIB,2022-11-27 16:45:48.336779,TAN,2022-11-28 11:06:41.129053,20.0,18.3,2.4,10.0,5.0,8.2,0.7,460.9,454.9,9203.0,322.0,1055.0,1377.0,7826.0,0.9,0.0,3,3.3
VOY-2022-00064,HEC-CS-001,HEC Nereid,Coastal Small,TAN,2022-11-28 17:50:35.788385,ALG,2022-11-29 20:03:00.828140,15.0,26.2,1.9,10.0,8.8,7.9,0.7,404.7,403.3,11190.0,385.0,3889.0,4274.0,6916.0,5.5,0.0,8,1.2
VOY-2022-00065,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2022-11-30 15:41:27.502286,BCN,2022-12-03 21:10:30.561822,490.0,77.5,60.4,7.0,9.5,8.1,8.5,329.9,315.3,11282.0,3568.0,1259.0,4827.0,6455.0,0.6,0.0,3,2.3
VOY-2022-00066,HEC-CS-001,HEC Nereid,Coastal Small,BCN,2022-12-04 23:06:36.128025,MLT,2022-12-10 11:29:33.036320,830.0,132.4,103.9,8.0,18.5,8.0,14.3,401.1,385.2,14627.0,6544.0,3771.0,10315.0,4313.0,2.0,0.0,4,2.0
VOY-2022-00067,HEC-CS-001,HEC Nereid,Coastal Small,MLT,2022-12-11 16:02:12.694894,ALG,2022-12-19 08:58:16.319701,1080.0,184.9,137.1,7.0,37.1,7.9,19.0,341.8,325.0,13780.0,8448.0,1734.0,10183.0,3597.0,3.7,0.0,6,1.2
VOY-2022-00068,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2022-12-19 19:47:24.371402,GIB,2022-12-20 07:34:47.431288,5.0,11.8,0.6,8.0,2.7,8.5,0.4,446.1,424.0,20000.0,148.0,3539.0,3687.0,16313.0,0.5,0.0,6,1.3
VOY-2022-00069,HEC-CS-001,HEC Nereid,Coastal Small,GIB,2022-12-20 17:29:04.895691,TAN,2022-12-21 12:59:41.485068,20.0,19.5,2.4,6.0,8.0,8.3,0.6,329.8,320.3,9007.0,274.0,2052.0,2326.0,6681.0,3.1,0.0,3,2.0
VOY-2022-00070,HEC-CS-001,HEC Nereid,Coastal Small,TAN,2022-12-22 06:30:24.051794,GIB,2022-12-23 03:40:10.831692,20.0,21.2,2.7,8.0,10.0,7.5,0.7,366.3,363.8,16968.0,294.0,4082.0,4376.0,12591.0,0.5,0.0,5,1.6
VOY-2022-00071,HEC-CS-001,HEC Nereid,Coastal Small,GIB,2022-12-23 23:52:21.581495,ALG,2022-12-25 13:11:39.193691,5.0,37.3,0.6,11.0,18.3,8.0,0.5,376.9,373.0,8621.0,213.0,4284.0,4497.0,4123.0,7.4,0.0,7,1.6
VOY-2022-00072,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2022-12-25 23:23:24.451458,TAN,2022-12-26 15:07:23.603820,15.0,15.7,1.8,8.0,4.2,8.2,0.6,379.0,363.3,6084.0,238.0,2934.0,3171.0,2912.0,1.7,0.0,5,1.6
VOY-2022-00073,HEC-CS-001,HEC Nereid,Coastal Small,TAN,2022-12-28 03:27:44.405158,ALG,2022-12-29 04:53:48.279631,15.0,25.4,1.9,9.0,9.5,7.8,0.6,416.3,415.6,12715.0,305.0,981.0,1287.0,11429.0,5.0,0.0,3,3.0
VOY-2022-00074,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2022-12-29 13:55:33.678321,TAN,2022-12-30 07:46:37.547680,15.0,17.9,2.0,9.0,6.1,7.7,0.6,281.4,280.1,12869.0,278.0,5309.0,5587.0,7282.0,0.8,0.0,8,1.1
VOY-2023-00075,HEC-CS-001,HEC Nereid,Coastal Small,TAN,2023-01-01 05:42:38.667788,ALG,2023-01-02 04:12:33.343411,15.0,22.5,1.9,8.0,5.8,7.9,0.6,400.7,389.6,18560.0,329.0,5569.0,5898.0,12662.0,6.8,0.0,7,1.1
VOY-2023-00076,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2023-01-03 08:09:46.134322,GIB,2023-01-03 21:18:02.520498,5.0,13.1,0.6,6.0,5.7,7.8,0.3,388.8,386.2,18399.0,167.0,949.0,1116.0,17283.0,0.8,0.0,3,2.0
VOY-2023-00077,HEC-CS-001,HEC Nereid,Coastal Small,GIB,2023-01-05 04:18:31.062737,ALG,2023-01-05 12:43:24.244868,5.0,8.4,0.6,6.0,1.0,8.1,0.3,308.3,304.7,12749.0,179.0,4983.0,5162.0,7587.0,0.8,0.0,6,1.0
VOY-2023-00078,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2023-01-06 16:50:32.030280,PSD,2023-01-17 21:13:49.120662,1960.0,268.4,249.7,5.0,10.3,7.8,32.7,318.9,305.7,9995.0,12121.0,1678.0,13799.0,-3804.0,3.4,0.0,3,1.7
VOY-2023-00079,HEC-CS-001,HEC Nereid,Coastal Small,PSD,2023-01-19 13:41:17.452775,MLT,2023-01-25 07:14:23.539660,860.0,137.6,111.8,11.0,13.5,7.7,16.3,311.2,301.7,9973.0,7646.0,2592.0,10238.0,-265.0,1.3,0.0,3,3.7
VOY-2023-00080,HEC-CS-001,HEC Nereid,Coastal Small,MLT,2023-01-25 20:00:52.595664,TAN,2023-02-01 02:46:44.843850,1090.0,150.8,136.9,9.0,3.4,8.0,19.9,417.4,410.7,19244.0,8720.0,2000.0,10720.0,8524.0,1.5,0.0,8,1.1
VOY-2023-00081,HEC-CS-001,HEC Nereid,Coastal Small,TAN,2023-02-01 15:53:01.000491,ALG,2023-02-02 09:16:06.427950,15.0,17.4,1.9,6.0,9.2,8.0,0.5,420.6,404.9,17597.0,267.0,2013.0,2281.0,15317.0,0.3,0.0,5,1.2
VOY-2023-00082,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2023-02-03 07:17:08.591946,TAN,2023-02-04 01:50:39.838046,15.0,18.6,1.8,11.0,4.7,8.5,0.7,440.1,419.2,19564.0,400.0,1701.0,2101.0,17462.0,1.1,0.0,4,2.8
VOY-2023-00083,HEC-CS-001,HEC Nereid,Coastal Small,TAN,2023-02-05 12:44:45.659252,ALG,2023-02-06 06:02:05.787792,15.0,17.3,1.9,11.0,2.9,7.9,0.7,445.9,429.9,15076.0,374.0,2544.0,2917.0,12158.0,1.5,0.0,6,1.8
VOY-2023-00084,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2023-02-08 05:15:37.587937,ALE,2023-02-18 10:30:01.393877,1890.0,245.2,234.7,6.0,0.2,8.1,31.7,468.4,461.5,20000.0,16123.0,5526.0,21649.0,-1649.0,4.0,0.3,7,0.9
VOY-2023-00085,HEC-CS-001,HEC Nereid,Coastal Small,ALE,2023-02-19 11:48:52.237147,PSD,2023-02-20 12:16:17.557235,110.0,24.5,14.2,4.0,6.3,7.8,2.0,466.9,456.7,12084.0,790.0,5432.0,6222.0,5862.0,0.0,0.0,8,0.5
VOY-2023-00086,HEC-CS-001,HEC Nereid,Coastal Small,PSD,2023-02-21 09:12:47.039083,LIM,2023-02-24 12:07:21.357165,360.0,74.9,48.6,8.0,15.1,7.4,7.1,393.7,375.1,15029.0,4325.0,4406.0,8731.0,6298.0,3.2,0.0,7,1.1
VOY-2023-00087,HEC-CS-001,HEC Nereid,Coastal Small,LIM,2023-02-25 06:40:14.190145,BCN,2023-03-06 16:28:08.378191,1770.0,225.8,211.5,11.0,2.8,8.4,26.5,370.1,370.0,15462.0,15001.0,4626.0,19627.0,-4165.0,0.5,0.0,5,2.2
VOY-2023-00088,HEC-CS-001,HEC Nereid,Coastal Small,BCN,2023-03-08 07:16:03.421415,GIB,2023-03-12 03:16:02.229843,540.0,92.0,70.1,7.0,13.3,7.7,9.5,334.9,319.5,9878.0,5404.0,3164.0,8568.0,1310.0,1.6,0.0,7,1.0
VOY-2023-00089,HEC-CS-001,HEC Nereid,Coastal Small,GIB,2023-03-12 20:44:47.639716,ALG,2023-03-13 10:34:38.039431,5.0,13.8,0.6,7.0,3.5,7.9,0.3,308.6,307.6,10111.0,183.0,2404.0,2587.0,7524.0,2.7,0.0,6,1.2
VOY-2023-00090,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2023-03-14 10:39:03.963400,GIB,2023-03-14 22:12:50.602008,5.0,11.6,0.7,9.0,1.5,7.5,0.5,338.8,333.4,15375.0,203.0,1236.0,1439.0,13935.0,0.4,0.0,3,3.0
VOY-2023-00091,HEC-CS-001,HEC Nereid,Coastal Small,GIB,2023-03-16 13:43:53.069575,ALE,2023-03-26 19:19:23.106714,1880.0,245.6,226.1,9.0,6.1,8.3,32.3,394.9,393.6,13481.0,17989.0,3330.0,21319.0,-7839.0,4.4,0.0,7,1.3
